dominio,tipoProjeto,siglaTipoProjeto,numero,ano,autor,ementa,tema,indexacao,situacao,siglaSituacao,situacaoGeral,siglaSituacaoGeral,dataPublicacao,numeroDoc,proposicao,matricula,regime,assuntoGeral,norma,atualizacao,horario,usuario,dataUltimaAcao,listaHistoricoTramitacoes,links,linksProposicoesAnexadas,linksOrigem,acompanhamento,local,arquivamento,autoresEstruturados,observacao,legislacaoCitada,linkLegislacao.url,linkLegislacao.rotulo,tipoTramitacao.codigo,tipoTramitacao.nome,tipoTramitacao.listaFaseTramitacao,faseAtual.codTipoTramitacao,faseAtual.codigo,faseAtual.nome,faseAtual.ordem,faseAtual.descricao
Remissivo,PROJETO DE LEI,PL,2034,1985,GOVERNADOR DO ESTADO,"INSTITUI O IMPOSTO SOBRE A PROPRIEDADE DE VEÍCULOS AUTOMOTORES E DÁ
OUTRAS PROVIDÊNCIAS.",FINANÇAS PÚBLICAS,"NORMAS, CRIAÇÃO, BASE DE CÁLCULO, FIXAÇÃO, ALÍQUOTA, (IPVA).
NORMAS, ISENÇÃO, RECOLHIMENTO, PAGAMENTO, (IPVA).
DESTINAÇÃO, MUNICÍPIOS, PERCENTAGEM, ARRECADAÇÃO, (IPVA).",TRANSFORMADO EM NORMA JURÍDICA COM VETO PARCIAL,TNJVP,PROPOSIÇÕES APROVADAS,MAPRV,1985-12-12,000147322,PL. 2034 1985 - PROJETO DE LEI,,DELIBERAÇÃO DE PLENÁRIO,"TRIBUTOS
IMPOSTO SOBRE A PROPRIEDADE DE VEÍCULOS AUTOMOTORES (IPVA)",LEI 9119 1985 - LEI ORDINÁRIA,20131014,1634,rosanacf,1985-12-11,"list(passo = 1, data = ""1985-12-11"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO:\nPLENÁRIO:\nDISCUSSÃO ÚNICA\nAPROVAÇÃO: 20 12 1985\nREDAÇÃO FINAL\nAPROVAÇÃO: 20 12 1985\nCOMISSÕES:\nJUSTIÇA, ECONOMIA E FINANÇAS (REUNIÃO CONJUNTA)\nDISCUSSÃO ÚNICA\nRELATOR: DEP. WAINER ÁVILA\nPUBLICAÇÃO: 20 12 1985\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. ALCYR NASCIMENTO\nPUBLICAÇÃO: 21 12 1985\nVETADO PARCIALMENTE\nPUBLICAÇÃO DA LEI: 28 12 1985\nMANTIDO O VETO"")",list(),list(),"list(descricao = ""MSG 894 1985"")",N,NA,NA,NULL,NA,NA,/legislacao/mineira/LEI/9119/1985,LEI 9119 1985 - LEI ORDINÁRIA,NA,NA,NULL,NA,NA,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,2033,1985,GOVERNADOR DO ESTADO,ALTERA A TABELA PARA LANÇAMENTO E COBRANÇA DA TAXA FLORESTAL.,"FINANÇAS PÚBLICAS
MEIO AMBIENTE","ALTERAÇÃO, TABELA, ALÍQUOTA, COBRANÇA, TAXA FLORESTAL.
DISPOSITIVOS, DESTINAÇÃO, PERCENTAGEM, TAXA FLORESTAL, PROGRAMA,
PEQUENO PRODUTOR RURAL, MÉDIO PRODUTOR RURAL.",TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1985-12-12,000147323,PL. 2033 1985 - PROJETO DE LEI,,DELIBERAÇÃO DE PLENÁRIO,"TRIBUTOS
MEIO AMBIENTE",LEI 9120 1985 - LEI ORDINÁRIA,20131014,1628,rosanacf,1985-12-11,"list(passo = 1, data = ""1985-12-11"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO:\nPLENÁRIO:\nDISCUSSÃO ÚNICA\nAPROVAÇÃO: 20 12 1985 COM EMENDAS\nREDAÇÃO FINAL\nAPROVAÇÃO: 20 12 1985\nCOMISSÕES:\nJUSTIÇA, ECONOMIA E FINANÇAS (REUNIÃO CONJUNTA)\nDISCUSSÃO ÚNICA\nRELATOR: DEP. WAINER ÁVILA\nPUBLICAÇÃO: 20 12 1985\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. MÁRIO PACHECO\nPUBLICAÇÃO: 21 12 1985\nSANCIONADO\nPUBLICAÇÃO DA LEI: 28 12 1985"")",list(),list(),"list(descricao = ""MSG 893 1985"")",N,NA,NA,NULL,NA,NA,/legislacao/mineira/LEI/9120/1985,LEI 9120 1985 - LEI ORDINÁRIA,NA,NA,NULL,NA,NA,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,2032,1985,DEPUTADO EURÍPEDES CRAIDE                  PMDB,"AUTORIZA O GOVERNO DO ESTADO DE MINAS GERAIS A DOAR IMÓVEL QUE MENCIONA
À PREFEITURA MUNICIPAL DE CAPITÓLIO. (CONSTRUÇÃO DE UMA CRECHE.)",NA,"AUTORIZAÇÃO, EXECUTIVO, DOAÇÃO, IMÓVEL, MUNICÍPIO, CAPITÓLIO,
DESTINAÇÃO, CONSTRUÇÃO, CRECHE.",ARQUIVADO,ARQVD,OUTRAS SITUAÇÕES,MOUTR,1985-12-04,000147324,PL. 2032 1985 - PROJETO DE LEI,1187,NA,IMÓVEL,NA,20120529,1712,rosanacf,1985-11-29,"list(passo = 1, data = ""1985-11-29"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nPRIMEIRA DISCUSSÃO\nAPROVAÇÃO: 2 4 1986\nSEGUNDA DISCUSSÃO\nAPROVAÇÃO: 25 11 1986\nJUSTIÇA\nSEGUNDA DISCUSSÃO\nRELATOR: DEP. JOÃO NAVARRO\nECONOMIA\nSEGUNDA DISCUSSÃO\nRELATOR: DEP. GIL CÉSAR\nFINANÇAS\nSEGUNDA DISCUSSÃO\nRELATOR: DEP. JOÃO NAVARRO\nPARECERES PUBLICADOS EM 25 6 1986\nARQUIVADO, FINAL DE LEGISLATURA."")",list(),list(),NULL,N,ARQUIVO,19870131,"list(id = 1187, nome = ""DEPUTADO EURÍPEDES CRAIDE"", partido = ""PMDB"")",NA,NA,NA,NA,NA,NA,NULL,NA,NA,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,2031,1985,DEPUTADO EURÍPEDES CRAIDE                  PMDB,"DECLARA DE UTILIDADE PÚBLICA O PATRONO JESUS MARIA JOSÉ, COM
SEDE NA CIDADE DE DORES DO INDAIÁ.",NA,"UTILIDADE PÚBLICA, ENTIDADE, MUNICÍPIO, DORES DO INDAIÁ.",TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1985-12-04,000147325,PL. 2031 1985 - PROJETO DE LEI,1187,DELIBERAÇÃO DE PLENÁRIO,UTILIDADE PÚBLICA,LEI 9189 1986 - LEI ORDINÁRIA,20120126,1019,rosanacf,1985-11-29,"list(passo = 1, data = ""1985-11-29"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nPRIMEIRA DISCUSSÃO\nAPROVAÇÃO: 11 3 1986\nSEGUNDA DISCUSSÃO\nAPROVAÇÃO: 2 4 1986\nTERCEIRA DISCUSSÃO\nAPROVAÇÃO: 29 4 1986\nREDAÇÃO FINAL\nAPROVAÇÃO: 8 5 1986\nCOMISSÕES:\nJUSTIÇA\nSEGUNDA DISCUSSÃO\nRELATOR: DEP. NARCÉLIO MENDES\nPUBLICAÇÃO: 21 3 1986\nJUSTIÇA\nTERCEIRA DISCUSSÃO\nRELATOR: DEP. ROBERTO LUIZ SOARES\nPUBLICAÇÃO: 23 4 1986\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. PETRÔNIO MATIAS\nPUBLICAÇÃO: 15 5 1986\nSANCIONADO\nPUBLICAÇÃO DA LEI: 14 6 1986"")",list(),list(),NULL,N,NA,NA,"list(id = 1187, nome = ""DEPUTADO EURÍPEDES CRAIDE"", partido = ""PMDB"")",NA,NA,/legislacao/mineira/LEI/9189/1986,LEI 9189 1986 - LEI ORDINÁRIA,NA,NA,NULL,NA,NA,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,2030,1985,DEPUTADO EURÍPEDES CRAIDE                  PMDB,"AUTORIZA O GOVERNO DO ESTADO DE MINAS GERAIS A DOAR IMÓVEL QUE
MENCIONA À PREFEITURA MUNICIPAL DE CAPITÓLIO. (CONSTRUÇÃO DE FUTUROS
IMÓVEIS).",NA,"AUTORIZAÇÃO, EXECUTIVO, DOAÇÃO, IMÓVEL, MUNICÍPIO, CAPITÓLIO.",ARQUIVADO,ARQVD,OUTRAS SITUAÇÕES,MOUTR,1985-12-04,000147326,PL. 2030 1985 - PROJETO DE LEI,1187,NA,IMÓVEL,NA,20120529,1718,rosanacf,1985-11-29,"list(passo = 1, data = ""1985-11-29"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO:\nPLENÁRIO:\nPRIMEIRA DISCUSSÃO\nAPROVAÇÃO: 26 3 1986\nARQUIVADO, FINAL DE LEGISLATURA"")",list(),list(),NULL,N,ARQUIVO,19870131,"list(id = 1187, nome = ""DEPUTADO EURÍPEDES CRAIDE"", partido = ""PMDB"")",NA,NA,NA,NA,NA,NA,NULL,NA,NA,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,2029,1985,DEPUTADO GERALDO DA COSTA PEREIRA          PMDB,"DECLARA DE UTILIDADE PÚBLICA O CARMELO IMACULADA CONCEIÇÃO DA ORDEM DAS
CARMELITAS DESCALÇAS, COM SEDE EM DIVINÓPOLIS.",NA,"UTILIDADE PÚBLICA, ENTIDADE, MUNICÍPIO, DIVINÓPOLIS.",TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1985-12-04,000147327,PL. 2029 1985 - PROJETO DE LEI,2036,DELIBERAÇÃO DE PLENÁRIO,UTILIDADE PÚBLICA,LEI 9174 1986 - LEI ORDINÁRIA,20150327,1723,malves,1985-11-29,"list(passo = 1, data = ""1985-11-29"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nPRIMEIRA DISCUSSÃO\nAPROVAÇÃO: 11 3 1986\nSEGUNDA DISCUSSÃO\nAPROVAÇÃO: 26 3 1986\nTERCEIRA DISCUSSÃO\nAPROVAÇÃO: 16 4 1986\nREDAÇÃO FINAL\nAPROVAÇÃO: 30 4 1986\nCOMISSÕES:\nJUSTIÇA\nSEGUNDA DISCUSSÃO\nRELATOR: DEP. NARCÉLIO MENDES\nPUBLICAÇÃO: 20 3 1986\nJUSTIÇA\nTERCEIRA DISCUSSÃO\nRELATOR: DEP. JOSÉ MOISÉS\nPUBLICAÇÃO: 11 4 1986\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. JAIRO MAGALHÃES ALVES\nPUBLICAÇÃO: 6 5 1986\nSANCIONADO\nPUBLICAÇÃO DA LEI: 22 5 1986"")",list(),list(),NULL,N,NA,NA,"list(id = 2036, nome = ""DEPUTADO GERALDO DA COSTA PEREIRA"", partido = ""PMDB"")",NA,NA,/legislacao/mineira/LEI/9174/1986,LEI 9174 1986 - LEI ORDINÁRIA,NA,NA,NULL,NA,NA,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,2028,1985,DEPUTADO NARCÉLIO MENDES                   PDS,"ALTERA AS DISPOSIÇÕES CONSTANTES DO ANEXO I, A QUE SE REFERE O
ARTIGO 45 DA LEI 7109, DE 13 DE OUTUBRO DE 1977.
(ESTATUTO DO MAGISTÉRIO: O ANEXO I SE REFERE AO ACESSO. PASSA A
INTEGRAR O REFERIDO ANEXO: PARA ACESSO À CLASSE DE PROFESSOR 6A E
ÀS DE ESPECIALISTA DE EDUCAÇÃO 6A, SERÁ CONSIDERADA HABILITAÇÃO
ESPECÍFICA A LICENCIATURA PLENA QUE CREDENCIE SIMULTANEAMENTE
PARA O EXERCÍCIO DE FUNÇÃO DE MAGISTÉRIO DE PRIMEIRO E SEGUNDO
GRAUS).",NA,NA,ARQUIVADO,ARQVD,OUTRAS SITUAÇÕES,MOUTR,1985-12-04,000147328,PL. 2028 1985 - PROJETO DE LEI,1465,DELIBERAÇÃO DE PLENÁRIO,NA,NA,20090803,1653,drumo,1985-11-29,"list(passo = 1, data = ""1985-11-29"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO:\nPLENÁRIO:\nPRIMEIRA DISCUSSÃO\nAPROVAÇÃO: 2 4 1986\nARQUIVADO, FINAL DE LEGISLATURA"")",list(),list(),NULL,N,ARQUIVO,19870131,"list(id = 1465, nome = ""DEPUTADO NARCÉLIO MENDES"", partido = ""PDS"")",NA,NA,NA,NA,NA,NA,NULL,NA,NA,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,2027,1985,DEPUTADO CLEUBER CARNEIRO                  PFL,"DÁ A DENOMINAÇÃO DE ESCOLA ESTADUAL PROFESSOR GERSON FERNANDES DE
SOUZA À ESCOLA ESTADUAL DE PINDAÍBA, NO MUNICÍPIO DE ITACARAMBI.",NA,"DENOMINAÇÃO, ESTABELECIMENTO DE ENSINO, MUNICÍPIO, ITACARAMBI.",TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1985-12-04,000147329,PL. 2027 1985 - PROJETO DE LEI,2034,NA,"PRÓPRIO PÚBLICO
ESTABELECIMENTO DE ENSINO",LEI 9225 1986 - LEI ORDINÁRIA,20120423,1604,rosanacf,1985-11-29,"list(passo = 1, data = ""1985-11-29"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nPRIMEIRA DISCUSSÃO\nAPROVAÇÃO: 11 3 1986\nSEGUNDA DISCUSSÃO\nAPROVAÇÃO: 21 5 1986\nTERCEIRA DISCUSSÃO\nAPROVAÇÃO: 17 6 1986\nREDAÇÃO FINAL\nAPROVAÇÃO: 23 6 1986\nCOMISSÕES:\nJUSTIÇA\nSEGUNDA DISCUSSÃO\nRELATOR: DEP. JOÃO NAVARRO\nPUBLICAÇÃO: 14 5 1986\nJUSTIÇA\nTERCEIRA DISCUSSÃO\nRELATOR: DEP. JOÃO NAVARRO\nPUBLICAÇÃO: 11 6 1986\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. ADEMIR LUCAS\nPUBLICAÇÃO: 24 6 1986\nSANCIONADO\nPUBLICAÇÃO DA LEI: 18 7 1986"")",list(),list(),NULL,N,NA,NA,"list(id = 2034, nome = ""DEPUTADO CLEUBER CARNEIRO"", partido = ""PFL"")",NA,NA,/legislacao/mineira/LEI/9225/1986,LEI 9225 1986 - LEI ORDINÁRIA,NA,NA,NULL,NA,NA,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,2026,1985,DEPUTADO GERALDO PEREIRA SOBRINHO          PMDB,"DECLARA DE UTILIDADE PÚBLICA A FUNDAÇÃO JOSÉ FERNANDES DE ARAÚJO,
COM SEDE EM BELO HORIZONTE.",NA,"UTILIDADE PÚBLICA, ENTIDADE, MUNICÍPIO, BELO HORIZONTE.",TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1985-12-04,000147330,PL. 2026 1985 - PROJETO DE LEI,74,DELIBERAÇÃO DE PLENÁRIO,UTILIDADE PÚBLICA,LEI 9172 1986 - LEI ORDINÁRIA,20120126,1020,rosanacf,1985-11-29,"list(passo = 1, data = ""1985-11-29"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nPRIMEIRA DISCUSSÃO\nAPROVAÇÃO: 7 3 1986\nSEGUNDA DISCUSSÃO\nAPROVAÇÃO: 26 3 1986\nTERCEIRA DISCUSSÃO\nAPROVAÇÃO: 16 4 1986\nREDAÇÃO FINAL\nAPROVAÇÃO: 30 4 1986\nCOMISSÕES:\nJUSTIÇA\nSEGUNDA DISCUSSÃO\nRELATOR: DEP. NARCÉLIO MENDES\nPUBLICAÇÃO: 20 3 1986\nJUSTIÇA\nTERCEIRA DISCUSSÃO\nRELATOR: DEP. JOSÉ MOISÉS\nPUBLICAÇÃO: 11 4 1986\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. ARTUR FAGUNDES\nPUBLICAÇÃO: 6 5 1986\nSANCIONADO\nPUBLICAÇÃO DA LEI: 22 5 1986"")",list(),list(),NULL,N,NA,NA,"list(id = 74, nome = ""DEPUTADO GERALDO PEREIRA SOBRINHO"", partido = ""PMDB"")",NA,NA,/legislacao/mineira/LEI/9172/1986,LEI 9172 1986 - LEI ORDINÁRIA,NA,NA,NULL,NA,NA,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,2025,1985,DEPUTADO GERALDO PEREIRA SOBRINHO          PMDB,"DECLARA DE UTILIDADE PÚBLICA A ACADEMIA FEMININA MINEIRA DE
LETRAS, COM SEDE EM BELO HORIZONTE.",NA,"UTILIDADE PÚBLICA, ENTIDADE, MUNICÍPIO, BELO HORIZONTE.",TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1985-12-04,000147331,PL. 2025 1985 - PROJETO DE LEI,74,DELIBERAÇÃO DE PLENÁRIO,UTILIDADE PÚBLICA,LEI 9173 1986 - LEI ORDINÁRIA,20120126,1021,rosanacf,1985-11-29,"list(passo = 1, data = ""1985-11-29"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nPRIMEIRA DISCUSSÃO\nAPROVAÇÃO: 7 3 1986\nSEGUNDA DISCUSSÃO\nAPROVAÇÃO: 26 3 1986\nTERCEIRA DISCUSSÃO\nAPROVAÇÃO: 16 4 1986\nREDAÇÃO FINAL\nAPROVAÇÃO: 30 4 1986\nCOMISSÕES:\nJUSTIÇA\nSEGUNDA DISCUSSÃO\nRELATOR: DEP. NARCÉLIO MENDES\nPUBLICAÇÃO: 20 3 1986\nJUSTIÇA\nTERCEIRA DISCUSSÃO\nRELATOR: DEP. JOSÉ MOISÉS\nPUBLICAÇÃO: 11 4 1986\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. JAIRO MAGALHÃES ALVES\nPUBLICAÇÃO: 6 5 1986\nSANCIONADO\nPUBLICAÇÃO DA LEI: 22 5 1986"")",list(),list(),NULL,N,NA,NA,"list(id = 74, nome = ""DEPUTADO GERALDO PEREIRA SOBRINHO"", partido = ""PMDB"")",NA,NA,/legislacao/mineira/LEI/9173/1986,LEI 9173 1986 - LEI ORDINÁRIA,NA,NA,NULL,NA,NA,NA,NA,NA
