dominio,tipoProjeto,siglaTipoProjeto,numero,ano,autor,ementa,tema,indexacao,observacao,situacao,siglaSituacao,situacaoGeral,siglaSituacaoGeral,dataPublicacao,numeroDoc,proposicao,prazo,matricula,assuntoGeral,legislacaoCitada,norma,atualizacao,horario,usuario,dataUltimaAcao,listaHistoricoTramitacoes,links,linksProposicoesAnexadas,linksOrigem,acompanhamento,regime,local,arquivamento,autoresEstruturados,linkLegislacao.url,linkLegislacao.rotulo,proposicaoLei.descricao
Remissivo,PROJETO DE LEI,PL,2729,1986,GOVERNADOR HÉLIO GARCIA,"DISPÕE SOBRE OS VALORES DOS SÍMBOLOS DE VENCIMENTOS E DE PROVENTOS
DO QUADRO DE PESSOAL DOS SERVIÇOS AUXILIARES DO TRIBUNAL DE CONTAS
DO ESTADO DE MINAS GERAIS, E DÁ OUTRAS PROVIDÊNCIAS.",ADMINISTRAÇÃO PÚBLICA,"REAJUSTAMENTO, VENCIMENTOS, SERVIDOR, PROVENTOS, APOSENTADO,
QUADRO PERMANENTE, SERVIÇOS AUXILIARES, (TCMG).
NORMAS, CONCESSÃO, GRATIFICAÇÃO ESPECIAL, LICENÇA, EXERCÍCIO,
MANDATO ELETIVO, ASSOCIAÇÃO DE CLASSE.",RESOLUÇÃO  8 1974 DO TRIBUNAL DE CONTAS.,TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1987-01-06,000146614,PL. 2729 1986 - PROJETO DE LEI,030 DIAS.   DATA LIMITE: 30/03/1987,,"PESSOAL
TRIBUNAL DE CONTAS DO ESTADO DE MINAS GERAIS (TCEMG)","DEC 16409 1974 - DECRETO
LEI 8330 1982 - LEI ORDINÁRIA",LEI 9404 1987 - LEI ORDINÁRIA,20170927,1111,m20993,1987-05-11,"list(passo = 8:1, data = c(""1987-05-11"", ""1987-04-24"", ""1987-04-14"", ""1987-04-10"", ""1987-04-08"", ""1987-04-01"", ""1987-03-30"", ""1986-12-30""), local = c(""GOVERNADOR DO ESTADO"", ""COORDENAÇÃO REDAÇÃO E REVISÃO"", ""PLENÁRIO"", ""COMISSÃO REDAÇÃO"", ""PLENÁRIO"", ""PLENÁRIO"", ""REUNIÃO CONJUNTA DE COMISSÕES"", ""PLENÁRIO""), historico = c(""PROPOSIÇÃO DE LEI SANCIONADA.\nLEI PUBLICADA NO DIÁRIO DO EXECUTIVO EM 12 5 1987."", ""REMESSA DO OFÍCIO 503/1987/CRR AO GOVERNADOR DO ESTADO\nENCAMINHANDO A PROPOSIÇÃO DE LEI 10062 PARA SANÇÃO."", 
""APROVADO EM REDAÇÃO FINAL.\nÀ SANÇÃO."", ""REDAÇÃO FINAL.\nRELATORA: DEP. MARIA ELVIRA.\nPARECER PELA APROVAÇÃO. APROVADO.\nPUBLICADO NO DL EM 14 4 1987."", ""APROVADO EM DISCUSSÃO ÚNICA.\nÀ COMISSÃO DE REDAÇÃO.\nRECEBIDO NA CR EM 9 4 1987."", ""NOMEADO RELATOR EM PLENÁRIO O DEP. ADELINO DIAS.\nENCERRADA A DISCUSSÃO ÚNICA E ADIADA A VOTAÇÃO POR FALTA\nDE QUORUM."", ""CCJ CSP CFO\nDISCUSSÃO ÚNICA.\nDEVOLVIDO AO DEPARTAMENTO DE PLENÁRIO POR TER-SE ESGOTADO\nO PRAZO DE APRECIAÇÃO PELAS COMISSÕES."", ""ÀS COMISSÕES DE CONSTITUIÇÃO E JUSTIÇA, DE SERVIÇO\nPÚBLICO E DE FINANÇAS E ORÇAMENTO, PARA RECEBER EMENDAS\nPELO PRAZO DE TRÊS DIAS. REUNIÃO CONJUNTA.\nRECEBIDO NA CCJ, CSP E CFO EM 25 2 1987.""
))",list(),list(),"list(descricao = ""MSG 1350 1986"")",N,NA,NA,NA,NULL,/legislacao/mineira/LEI/9404/1987,LEI 9404 1987 - LEI ORDINÁRIA,PRL 10062 1987
Remissivo,PROJETO DE LEI,PL,2728,1986,GOVERNADOR HÉLIO GARCIA,"DISPÕE SOBRE OS VALORES DOS SÍMBOLOS DE VENCIMENTO DOS CARGOS DOS QUADROS
PERMANENTES DAS SECRETARIAS E DOS SERVIÇOS AUXILIARES DO TRIBUNAL DE
JUSTIÇA E DO TRIBUNAL DE ALÇADA DO ESTADO E DÁ OUTRAS PROVIDÊNCIAS.",ADMINISTRAÇÃO PÚBLICA,"REAJUSTAMENTO, VENCIMENTOS, SERVIDOR, PROVENTOS, APOSENTADO, QUADRO
PERMANENTE, SECRETARIA, SERVIÇOS AUXILIARES, TRIBUNAL DE JUSTIÇA DO
ESTADO DE MINAS GERAIS (TJMG), TRIBUNAL DE ALÇADA DO ESTADO DE MINAS
GERAIS (TAMG).
NORMAS, CONCESSÃO, GRATIFICAÇÃO ESPECIAL, LICENÇA, EXERCÍCIO, MANDATO
ELETIVO, ASSOCIAÇÃO DE CLASSE.","RESOLUÇÃO 58 1974 DO TRIBUNAL DE JUSTIÇA. RESOLUÇÃO  8 1974 DO
TRIBUNAL DE ALÇADA.",TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1987-01-06,000146615,PL. 2728 1986 - PROJETO DE LEI,030 DIAS.   DATA LIMITE: 30/03/1987,,"PESSOAL
TRIBUNAL DE ALÇADA DO ESTADO DE MINAS GERAIS (TAMG)
TRIBUNAL DE JUSTIÇA DO ESTADO DE MINAS GERAIS (TJMG)","DEC 16409 1974 - DECRETO
LEI 8330 1982 - LEI ORDINÁRIA",LEI 9403 1987 - LEI ORDINÁRIA,20170123,1541,malves,1987-05-11,"list(passo = 8:1, data = c(""1987-05-11"", ""1987-04-24"", ""1987-04-14"", ""1987-04-10"", ""1987-04-08"", ""1987-04-01"", ""1987-03-30"", ""1986-12-30""), local = c(""GOVERNADOR DO ESTADO"", ""COORDENAÇÃO REDAÇÃO E REVISÃO"", ""PLENÁRIO"", ""COMISSÃO REDAÇÃO"", ""PLENÁRIO"", ""PLENÁRIO"", ""REUNIÃO CONJUNTA DE COMISSÕES"", ""PLENÁRIO""), historico = c(""PROPOSIÇÃO DE LEI SANCIONADA.\nLEI PUBLICADA NO DIÁRIO DO EXECUTIVO EM 12 5 1987."", ""REMESSA DO OFÍCIO 502/1987/CRR AO GOVERNADOR DO ESTADO\nENCAMINHANDO A PROPOSIÇÃO DE LEI 10061 PARA SANÇÃO."", 
""APROVADO EM REDAÇÃO FINAL.\nÀ SANÇÃO."", ""REDAÇÃO FINAL.\nRELATOR: DEP. JAIRO MAGALHÃES ALVES.\nPARECER PELA APROVAÇÃO. APROVADO.\nPUBLICADO NO DL EM 14 4 1987."", ""APROVADO EM DISCUSSÃO ÚNICA.\nÀ COMISSÃO DE REDAÇÃO.\nRECEBIDO NA CR EM 9 4 1987."", ""NOMEADO RELATOR EM PLENÁRIO O DEP. PAULO PETTERSEN.\nENCERRADA A DISCUSSÃO ÚNICA E ADIADA A VOTAÇÃO POR FALTA\nDE QUORUM."", ""CCJ CSP CFO\nDISCUSSÃO ÚNICA.\nDEVOLVIDO AO DEPARTAMENTO DE PLENÁRIO POR TER-SE ESGOTADO\nO PRAZO DE APRECIAÇÃO PELAS COMISSÕES."", 
""ÀS COMISSÕES DE CONSTITUIÇÃO E JUSTIÇA, DE SERVIÇO\nPÚBLICO E DE FINANÇAS E ORÇAMENTO, PARA RECEBER EMENDAS\nPELO PRAZO DE TRÊS DIAS. REUNIÃO CONJUNTA.\nRECEBIDO NA CCJ, CSP E CFO EM 25 2 1987.""))",list(),list(),"list(descricao = ""MSG 1349 1986"")",N,NA,NA,NA,NULL,/legislacao/mineira/LEI/9403/1987,LEI 9403 1987 - LEI ORDINÁRIA,PRL 10061 1987
Remissivo,PROJETO DE LEI,PL,2727,1986,GOVERNADOR HÉLIO GARCIA,"DISPÕE SOBRE OS VALORES DOS SÍMBOLOS DE VENCIMENTO DOS CARGOS DO QUADRO
PERMANENTE DO PESSOAL DA SECRETARIA E DOS SERVIÇOS AUXILIARES DO TRIBUNAL
DE JUSTIÇA MILITAR DO ESTADO E DAS AUDITORIAS DA JUSTIÇA MILITAR E DÁ
OUTRAS PROVIDÊNCIAS.",ADMINISTRAÇÃO PÚBLICA,"REAJUSTAMENTO, VENCIMENTOS, SERVIDOR, PROVENTOS, APOSENTADO, QUADRO
PERMANENTE, SECRETARIA, SERVIÇOS AUXILIARES, TRIBUNAL DE JUSTIÇA
MILITAR DO ESTADO DE MINAS GERAIS (TJMMG), AUDITORIA, JUSTIÇA MILITAR.
NORMAS, CONCESSÃO, GRATIFICAÇÃO ESPECIAL, LICENÇA, EXERCÍCIO,
MANDATO ELETIVO, ASSOCIAÇÃO DE CLASSE.",NA,TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1987-01-06,000146616,PL. 2727 1986 - PROJETO DE LEI,030 DIAS.   DATA LIMITE: 30/03/1987,,"PESSOAL
TRIBUNAL DE JUSTIÇA MILITAR DO ESTADO DE MINAS GERAIS (TJMMG)","DEC 16409 1974 - DECRETO
LEI 8330 1982 - LEI ORDINÁRIA
LEI 9033 1985 - LEI ORDINÁRIA",LEI 9406 1987 - LEI ORDINÁRIA,20170119,1551,malves,1987-05-11,"list(passo = 8:1, data = c(""1987-05-11"", ""1987-04-24"", ""1987-04-14"", ""1987-04-10"", ""1987-04-08"", ""1987-04-01"", ""1987-03-30"", ""1986-12-30""), local = c(""GOVERNADOR DO ESTADO"", ""COORDENAÇÃO REDAÇÃO E REVISÃO"", ""PLENÁRIO"", ""COMISSÃO REDAÇÃO"", ""PLENÁRIO"", ""PLENÁRIO"", ""REUNIÃO CONJUNTA DE COMISSÕES"", ""PLENÁRIO""), historico = c(""PROPOSIÇÃO DE LEI SANCIONADA.\nLEI PUBLICADA NO DIÁRIO DO EXECUTIVO EM 12 5 1987."", ""REMESSA DO OFÍCIO 501/1987/CRR AO GOVERNADOR DO ESTADO\nENCAMINHANDO A PROPOSIÇÃO DE LEI 10060 PARA SANÇÃO."", 
""APROVADO EM REDAÇÃO FINAL.\nÀ SANÇÃO."", ""REDAÇÃO FINAL.\nRELATOR: DEP. JOSÉ MARIA CHAVES.\nPARECER PELA APROVAÇÃO. APROVADO.\nPUBLICADO NO DL EM 14 4 1987."", ""APROVADO EM DISCUSSÃO ÚNICA.\nÀ COMISSÃO DE REDAÇÃO.\nRECEBIDO NA CR EM 9 4 1987."", ""NOMEADO RELATOR EM PLENÁRIO O DEP. ROMEU QUEIROZ.\nENCERRADA A DISCUSSÃO ÚNICA E ADIADA A VOTAÇÃO POR FALTA\nDE QUORUM."", ""CCJ CSP CFO\nDISCUSSÃO ÚNICA.\nDEVOLVIDO AO DEPARTAMENTO DE PLENÁRIO POR TER-SE ESGOTADO\nO PRAZO DE APRECIAÇÃO PELAS COMISSÕES."", ""ÀS COMISSÕES DE CONSTITUIÇÃO E JUSTIÇA, DE SERVIÇO\nPÚBLICO E DE FINANÇAS E ORÇAMENTO, PARA RECEBER EMENDAS\nPELO PRAZO DE TRÊS DIAS. REUNIÃO CONJUNTA.\nRECEBIDO NA CCJ, CSP E CFO EM 25 2 1987.""
))",list(),list(),"list(descricao = ""MSG 1348 1986"")",N,NA,NA,NA,NULL,/legislacao/mineira/LEI/9406/1987,LEI 9406 1987 - LEI ORDINÁRIA,PRL 10060 1987
Remissivo,PROJETO DE LEI,PL,2726,1986,GOVERNADOR HÉLIO GARCIA,AUTORIZA O PODER EXECUTIVO A DOAR IMÓVEL AO MUNICÍPIO DE BOM SUCESSO.,NA,"AUTORIZAÇÃO, EXECUTIVO, DOAÇÃO, IMÓVEL, MUNICÍPIO, BOM SUCESSO.",NA,TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1986-12-20,000146617,PL. 2726 1986 - PROJETO DE LEI,030 DIAS.   DATA LIMITE: 30/03/1987,,IMÓVEL,NA,LEI 9408 1987 - LEI ORDINÁRIA,20120529,1625,rosanacf,1987-05-11,"list(passo = 9:1, data = c(""1987-05-11"", ""1987-04-28"", ""1987-04-14"", ""1987-04-10"", ""1987-04-08"", ""1987-04-01"", ""1987-03-10"", ""1987-03-10"", ""1986-12-18""), local = c(""GOVERNADOR DO ESTADO"", ""COORDENAÇÃO REDAÇÃO E REVISÃO"", ""PLENÁRIO"", ""COMISSÃO REDAÇÃO"", ""PLENÁRIO"", ""PLENÁRIO"", ""REUNIÃO CONJUNTA DE COMISSÕES"", ""PLENÁRIO"", ""PLENÁRIO""), historico = c(""PROPOSIÇÃO DE LEI SANCIONADA.\nLEI PUBLICADA NO DIÁRIO DO EXECUTIVO DE 12 5 1987."", ""REMESSA DO OFÍCIO 500/1987/CRR AO GOVERNADOR DO ESTADO\nENCAMINHANDO A PROPOSIÇÃO DE LEI 10059 PARA SANÇÃO."", 
""APROVADO EM REDAÇÃO FINAL."", ""REDAÇÃO FINAL.\nRELATOR: DEP. JOSÉ MARIA CHAVES.\nPARECER PELA APROVAÇÃO. APROVADO.\nPUBLICADO NO DL EM 14 4 1987."", ""APROVADO EM DISCUSSÃO ÚNICA.\nÀ COMISSÃO DE REDAÇÃO.\nRECEBIDO NA CR EM 9 4 1987."", ""NOMEADO RELATOR EM PLENÁRIO O DEP. IRANI BARBOSA.\nENCERRADA A DISCUSSÃO ÚNICA E ADIADA A VOTAÇÃO POR FALTA\nDE QUORUM."", ""CCJ CE CFO.\nDISCUSSÃO ÚNICA.\nDEVOLVIDO AO DEPARTAMENTO DE PLENÁRIO POR TER-SE ESGOTADO\nO PRAZO DE APRECIAÇÃO PELAS COMISSÕES."", ""ESGOTADO SEM APRESENTAÇÃO DE EMENDAS O PRAZO REGIMENTAL,\nVAI O PROJETO AS COMISSÕES DE CONSTITUIÇÃO E JUSTIÇA, DE\nECONOMIA E DE FINANÇAS E ORÇAMENTO. REUNIÃO CONJUNTA.\nRECEBIDO NA CCJ, CE E CFO EM 10 3 1987."", 
""AGUARDANDO EMENDAS, NA MESA, PELO PRAZO DE TRÊS DIAS.""))",list(),list(),"list(descricao = ""MSG 1335 1986"")",N,NA,NA,NA,NULL,/legislacao/mineira/LEI/9408/1987,LEI 9408 1987 - LEI ORDINÁRIA,PRL 10059 1987
Remissivo,PROJETO DE LEI,PL,2725,1986,GOVERNADOR HÉLIO GARCIA,"AUTORIZA O PODER EXECUTIVO A REVERTER IMÓVEL AO PATRIMÔNIO DO MUNICÍPIO
DE RESENDE COSTA.",NA,"AUTORIZAÇÃO, EXECUTIVO, REVERSÃO, IMÓVEL, MUNICÍPIO, RESENDE COSTA.",NA,TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1986-12-17,000146621,PL. 2725 1986 - PROJETO DE LEI,030 DIAS.   DATA LIMITE: 30/03/1987,,IMÓVEL,NA,LEI 9410 1987 - LEI ORDINÁRIA,20120529,1626,rosanacf,1987-05-11,"list(passo = 9:1, data = c(""1987-05-11"", ""1987-04-24"", ""1987-04-14"", ""1987-04-10"", ""1987-04-08"", ""1987-04-01"", ""1987-03-31"", ""1987-03-10"", ""1986-12-11""), local = c(""GOVERNADOR DO ESTADO"", ""COORDENAÇÃO REDAÇÃO E REVISÃO"", ""PLENÁRIO"", ""COMISSÃO REDAÇÃO"", ""PLENÁRIO"", ""PLENÁRIO"", ""REUNIÃO CONJUNTA DE COMISSÕES"", ""PLENÁRIO"", ""PLENÁRIO""), historico = c(""PROPOSIÇÃO DE LEI SANCIONADA.\nLEI PUBLICADA NO DIÁRIO DO EXECUTIVO EM 12 5 1987."", ""REMESSA DO OFÍCIO 499/1987/CRR AO GOVERNADOR DO ESTADO\nENCAMINHANDO A PROPOSIÇÃO DE LEI 10058 PARA SANÇÃO."", 
""APROVADO EM REDAÇÃO FINAL."", ""REDAÇÃO FINAL.\nRELATOR: DEP. JOSÉ MARIA CHAVES.\nPARECER PELA APROVAÇÃO. APROVADO.\nPUBLICADO NO DL EM 14 4 1987."", ""APROVADO EM DISCUSSÃO ÚNICA.\nÀ COMISSÃO DE REDAÇÃO.\nRECEBIDO NA CR EM 9 4 1987."", ""NOMEADO RELATOR EM PLENÁRIO O DEP. ROMEU QUEIROZ.\nENCERRADA A DISCUSSÃO ÚNICA E ADIADA A VOTAÇÃO POR FALTA\nDE QUORUM."", ""CCJ CE CFO.\nDISCUSSÃO ÚNICA.\nDEVOLVIDO AO DEPARTAMENTO DE PLENÁRIO POR TER-SE ESGOTADO\nO PRAZO DE APRECIAÇÃO PELAS COMISSÕES."", ""ESGOTADO O PRAZO REGIMENTAL SEM APRESENTAÇÃO DE EMENDAS,\nVAI O PROJETO AS COMISSÕES DE CONSTITUIÇÃO E JUSTIÇA, DE\nECONOMIA E DE FINANÇAS E ORÇAMENTO.\nREUNIÃO CONJUNTA.\nRECEBIDO NA CCJ, CE E CFO EM 10 3 1987."", 
""AGUARDANDO EMENDAS, NA MESA, PELO PRAZO DE TRÊS DIAS.""))",list(),list(),"list(descricao = ""MSG 1317 1986"")",N,NA,NA,NA,NULL,/legislacao/mineira/LEI/9410/1987,LEI 9410 1987 - LEI ORDINÁRIA,PRL 10058 1987
Remissivo,PROJETO DE LEI,PL,2724,1986,GOVERNADOR HÉLIO GARCIA,"DÁ NOVA REDAÇÃO A DISPOSITIVOS DA LEI 6624, DE 18 DE JUNHO DE
1975, MODIFICADA PELO ARTIGO 4 DA LEI 9089, DE 13 DE DEZEMBRO DE
1985.
(ALTERA A ORGANIZAÇÃO BÁSICA DA POLÍCIA MILITAR).","ADMINISTRAÇÃO PÚBLICA
SEGURANÇA PÚBLICA","ALTERAÇÃO, REDAÇÃO, LEI ESTADUAL, DISPOSIÇÃO, ORGANIZAÇÃO, (PMMG).",NA,TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1986-12-17,000146622,PL. 2724 1986 - PROJETO DE LEI,NA,,"POLÍCIA MILITAR DO ESTADO DE MINAS GERAIS (PMMG)
ORGANIZAÇÃO ADMINISTRATIVA","LEI 6624 1985 - LEI ORDINÁRIA
LEI 9089 1985 - LEI ORDINÁRIA",LEI 9774 1989 - LEI ORDINÁRIA,20131008,1614,rosanacf,1989-06-07,"list(passo = 15:1, data = c(""1989-06-07"", ""1989-05-29"", ""1989-05-24"", ""1989-05-23"", ""1989-05-10"", ""1989-04-05"", ""1987-11-25"", ""1987-11-18"", ""1987-06-30"", ""1987-05-26"", ""1987-05-13"", ""1987-04-14"", ""1987-04-02"", ""1987-03-09"", ""1986-12-11""), local = c(""GOVERNADOR DO ESTADO"", ""COORDENAÇÃO REDAÇÃO E REVISÃO"", ""PLENÁRIO"", ""COMISSÃO REDAÇÃO"", ""PLENÁRIO"", ""COMISSÃO FINANÇAS E ORÇAMENTO"", ""PLENÁRIO"", ""COMISSÃO SEGURANÇA"", ""PLENÁRIO"", ""COMISSÃO FINANÇAS E ORÇAMENTO"", ""COMISSÃO SEGURANÇA"", ""COMISSÃO CONSTITUIÇÃO E JUSTIÇA"", 
""COMISSÃO CONSTITUIÇÃO E JUSTIÇA"", ""PLENÁRIO"", ""PLENÁRIO""), historico = c(""PROPOSIÇÃO DE LEI SANCIONADA.\nLEI 9774 PUBLICADA NO DIÁRIO DO EXECUTIVO EM 7 6 1989."", ""REMESSA DO OFÍCIO 1105/1989/CRR AO GOVERNADOR DO ESTADO\nENCAMINHANDO A PROPOSIÇÃO DE LEI 10460 PARA SANÇÃO."", ""APROVADO EM REDAÇÃO FINAL.\nÀ SANÇÃO."", ""REDAÇÃO FINAL.\nRELATOR: DEP. MAURO MORAES.\nPARECER PELA APROVAÇÃO. APROVADO.\nPUBLICADO NO DL EM 27 5 1989."", ""APROVADO EM TERCEIRA DISCUSSÃO.\nÀ COMISSÃO DE REDAÇÃO.\nRECEBIDO NA CR EM 10 5 1989."", 
""TERCEIRA DISCUSSÃO.\nRELATOR: DEP. JOSÉ BONIFÁCIO.\nPARECER PELA APROVAÇÃO DO PROJETO COM A EMENDA 2 DO\nRELATOR. APROVADO.\nPUBLICADO NO DL EM 7 4 1989."", ""APROVADO EM SEGUNDA DISCUSSÃO, REJEITADA A EMENDA 1.\nÀ COMISSÃO DE FINANÇAS E ORÇAMENTO.\nRECEBIDO NA CFO EM 25 11 1987."", ""SEGUNDA DISCUSSÃO.\nRELATOR: DEP. JOSÉ MARIA CHAVES.\nPARECER PELA REJEIÇÃO DA EMENDA 1. APROVADO.\nPUBLICADO NO DL EM 24 11 1987."", ""ENCERRADA A SEGUNDA DISCUSSÃO.\nÀ COMISSÃO DE SEGURANÇA PARA EMITIR PARECER SOBRE A\nEMENDA 1, DO DEP. JOSÉ MARIA PINTO.\nEMENDA PUBLICADA NO DL  2 7 1987.\nRECEBIDO NA CSEG EM 2 7 1987."", 
""SEGUNDA DISCUSSÃO.\nRELATOR: DEP. LUÍS GAMBOGI\nPARECER PELA APROVAÇÃO. APROVADO.\nPUBLICADO NO DL EM 29 5 1987."", ""SEGUNDA DISCUSSÃO.\nRELATOR: DEP. ADEMIR LUCAS.\nPARECER PELA APROVAÇÃO. APROVADO.\nPUBLICADO NO DL EM 29 5 1987.\nRECEBIDO NA CFO EM 13 5 1987."", ""SEGUNDA DISCUSSÃO.\nRELATOR: DEP. JOSÉ FERRAZ\nPARECER PELA APROVAÇÃO. APROVADO.\nPUBLICADO NO DL EM 23 4 1987 E REPUBLICADO EM 29 5 1987\nRECEBIDO NA CSEG EM 27 4 1987"", ""SEGUNDA DISCUSSÃO.\nRELATOR: DEP. JOSÉ FERRAZ"", ""APROVADO EM PRIMEIRA DISCUSSÃO.\nÀS COMISSÕES DE CONSTITUIÇÃO E JUSTIÇA, DE SEGURANÇA E DE\nFINANÇAS E ORÇAMENTO.\nRECEBIDO NA CCJ EM 10 3 1987."", 
""AGUARDANDO INCLUSÃO EM ORDEM DO DIA PARA PRIMEIRA DISCUSSÃO.""))",list(),list(),"list(descricao = ""MSG 1313 1986"")",N,NA,NA,NA,NULL,/legislacao/mineira/LEI/9774/1989,LEI 9774 1989 - LEI ORDINÁRIA,PRL 10460 1989
Remissivo,PROJETO DE LEI,PL,2719,1986,DEPUTADO HUGO GONTIJO                      PMDB,"DÁ A DENOMINAÇÃO DE FRANCISCO ABREU DE ARAÚJO À RODOVIA QUE LIGA CAMPO
DO MEIO A CAMPOS GERAIS.",NA,"DENOMINAÇÃO, RODOVIA, MUNICÍPIO, CAMPO DO MEIO, CAMPOS GERAIS.",NA,ARQUIVADO,ARQVD,OUTRAS SITUAÇÕES,MOUTR,1986-12-02,000146630,PL. 2719 1986 - PROJETO DE LEI,NA,2799,PRÓPRIO PÚBLICO,NA,NA,20120307,1526,rosanacf,1986-11-28,"list(passo = 1, data = ""1986-11-28"", local = ""PLENÁRIO"", historico = ""ARQUIVADO, FINAL DE LEGISLATURA."")",list(),list(),NULL,N,DELIBERAÇÃO DE PLENÁRIO,ARQUIVO,19870131,"list(id = 2799, nome = ""DEPUTADO HUGO GONTIJO"", partido = ""PMDB"")",NA,NA,NA
Remissivo,PROJETO DE LEI,PL,2718,1986,DEPUTADO JOSÉ MARIA BORGES                 PMDB,INSTITUI A MEDALHA DO MÉRITO DA MÚSICA SERTANEJA.,CULTURA,"CRIAÇÃO, MEDALHA, MÚSICA.",NA,ARQUIVADO,ARQVD,OUTRAS SITUAÇÕES,MOUTR,1986-12-02,000146631,PL. 2718 1986 - PROJETO DE LEI,NA,2806,HOMENAGEM,NA,NA,20150327,1713,malves,1986-11-28,"list(passo = 1, data = ""1986-11-28"", local = ""PLENÁRIO"", historico = ""ARQUIVADO, FINAL DE LEGISLATURA."")",list(),list(),NULL,N,DELIBERAÇÃO DE PLENÁRIO,ARQUIVO,19870131,"list(id = 2806, nome = ""DEPUTADO JOSÉ MARIA BORGES"", partido = ""PMDB"")",NA,NA,NA
Remissivo,PROJETO DE LEI,PL,2717,1986,DEPUTADO JOÃO ROSA                         PMDB,"DÁ A DENOMINAÇÃO DE ESCOLA ESTADUAL VEREADOR JOAQUIM BORGES DA COSTA À
ESCOLA ESTADUAL DE CAREAÇU, DE PRIMEIRO GRAU, DO MUNICÍPIO DE CAREAÇU.",NA,"DENOMINAÇÃO, ESTABELECIMENTO DE ENSINO, MUNICÍPIO, CAREAÇU.",NA,ARQUIVADO,ARQVD,OUTRAS SITUAÇÕES,MOUTR,1986-12-02,000146632,PL. 2717 1986 - PROJETO DE LEI,NA,2803,"PRÓPRIO PÚBLICO
ESTABELECIMENTO DE ENSINO",NA,NA,20120309,1512,rosanacf,1986-11-28,"list(passo = 1, data = ""1986-11-28"", local = ""PLENÁRIO"", historico = ""ARQUIVADO, FINAL DE LEGISLATURA."")",list(),list(),NULL,N,DELIBERAÇÃO DE PLENÁRIO,ARQUIVO,19870131,"list(id = 2803, nome = ""DEPUTADO JOÃO ROSA"", partido = ""PMDB"")",NA,NA,NA
Remissivo,PROJETO DE LEI,PL,2716,1986,DEPUTADO SÉRGIO EMÍLIO                     PMDB,"DÁ A DENOMINAÇÃO DE DEPUTADO RENATO AZEREDO AO POSTO DE SAÚDE DO
DISTRITO DE FECHADOS, NO MUNICÍPIO DE SANTANA DE PIRAPAMA.",NA,"DENOMINAÇÃO, POSTO DE SAÚDE, MUNICÍPIO, SANTANA DO PIRAPAMA.",NA,ARQUIVADO,ARQVD,OUTRAS SITUAÇÕES,MOUTR,1986-11-29,000146633,PL. 2716 1986 - PROJETO DE LEI,NA,2052,PRÓPRIO PÚBLICO,NA,NA,20120309,1513,rosanacf,1986-11-27,"list(passo = 1, data = ""1986-11-27"", local = ""PLENÁRIO"", historico = ""ARQUIVADO, FINAL DE LEGISLATURA."")",list(),list(),NULL,N,NA,ARQUIVO,19870131,"list(id = 2052, nome = ""DEPUTADO SÉRGIO EMÍLIO"", partido = ""PMDB"")",NA,NA,NA
