dominio,tipoProjeto,siglaTipoProjeto,numero,ano,autor,ementa,indexacao,situacao,siglaSituacao,situacaoGeral,siglaSituacaoGeral,dataPublicacao,numeroDoc,proposicao,matricula,atualizacao,usuario,dataUltimaAcao,listaHistoricoTramitacoes,links,linksProposicoesAnexadas,acompanhamento,autoresEstruturados,assuntoGeral,norma,horario,regime,legislacaoCitada,prazo,linksOrigem,tema,observacao,linkLegislacao.url,linkLegislacao.rotulo,proposicaoLei.descricao
Remissivo,PROJETO DE LEI,PL,2152,1989,DEPUTADO DIRCEU PEREIRA                    PMDB,"CRIA O INSTITUTO MINEIRO DE GEMOLOGIA, COM SEDE EM BELO HORIZONTE.","CRIAÇÃO, ENTIDADE, REPRESENTANTE, JÓIA, PEDRA PRECIOSA, MUNICÍPIO,
BELO HORIZONTE.",ARQUIVADO,ARQVD,OUTRAS SITUAÇÕES,MOUTR,1989-12-23,000139281,PL. 2152 1989 - PROJETO DE LEI,3857,19980101,Carga,1990-12-17,"list(passo = 5:1, data = c(""1990-12-17"", ""1990-04-17"", ""1990-03-15"", ""1990-02-15"", ""1989-12-15""), local = c(""PLENÁRIO"", ""COMISSÃO CONSTITUIÇÃO E JUSTIÇA"", ""PLENÁRIO"", ""PLENÁRIO"", ""PLENÁRIO""), historico = c(""ARQUIVADO NOS TERMOS DO ART. 185 DO RI."", ""SEGUNDA DISCUSSÃO.\nRELATORA: DEP. SANDRA STARLING.\nPARECER PELA APROVAÇÃO. APROVADO.\nRECEBIDO NA CEMM EM 19 4 1990."", ""APROVADO EM PRIMEIRA DISCUSSÃO.\nÀS COMISSÕES DE CONSTITUIÇÃO E JUSTIÇA, DE ENERGIA MINAS\nE METALURGIA E DE FINANÇAS E ORÇAMENTO.\nRECEBIDO NA CCJ EM 15 3 1990."", 
""AGUARDANDO INCLUSÃO EM ORDEM DO DIA PARA PRIMEIRA DISCUSSÃO."", ""SUSPENSA A TRAMITAÇÃO NOS TERMOS DO ART. 238 DO RI.""))",list(),list(),N,"list(id = 3857, nome = ""DEPUTADO DIRCEU PEREIRA"", partido = ""PMDB"")",NA,NA,NA,NA,NA,NA,NULL,NA,NA,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,2151,1989,DEPUTADO RAIMUNDO ALBERGARIA               PDS,"DECLARA DE UTILIDADE PÚBLICA A ASSOCIAÇÃO BENEFICENTE DOS
EMPREGADOS DO MINAS TÊNIS CLUBE - ABEM -, DE BELO HORIZONTE.","DECLARAÇÃO, UTILIDADE PÚBLICA, ASSOCIAÇÃO DE CLASSE, MUNICÍPIO,
BELO HORIZONTE.",TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1989-12-23,000139282,PL. 2151 1989 - PROJETO DE LEI,1698,20080718,therezar,1990-07-18,"list(passo = 12:1, data = c(""1990-07-18"", ""1990-07-03"", ""1990-06-27"", ""1990-06-27"", ""1990-06-22"", ""1990-05-31"", ""1990-05-16"", ""1990-04-20"", ""1990-04-05"", ""1990-03-12"", ""1990-02-15"", ""1989-12-15""), local = c(""GOVERNADOR DO ESTADO"", ""COORDENAÇÃO REDAÇÃO E REVISÃO"", ""PLENÁRIO"", ""COMISSÃO REDAÇÃO"", ""PLENÁRIO"", ""COMISSÃO CONSTITUIÇÃO E JUSTIÇA"", ""PLENÁRIO"", ""PLENÁRIO"", ""COMISSÃO CONSTITUIÇÃO E JUSTIÇA"", ""PLENÁRIO"", ""PLENÁRIO"", ""PLENÁRIO""), historico = c(""PROPOSIÇÃO DE LEI SANCIONADA.\nLEI 10238 PUBLICADA NO DIÁRIO DO EXECUTIVO EM 19 7 1990."", 
""REMESSA DO OFÍCIO 1652/1990/CRR AO GOVERNADOR DO ESTADO\nENCAMINHANDO A PROPOSIÇÃO DE LEI 10943 PARA SANÇÃO."", ""APROVADO EM REDAÇÃO FINAL.\nÀ SANÇÃO."", ""REDAÇÃO FINAL.\nRELATOR: DEP. JORGE HANNAS.\nPARECER PELA APROVAÇÃO. APROVADO.\nPUBLICADO NO DL EM 29 6 1990."", ""APROVADO EM TERCEIRA DISCUSSÃO.\nÀ COMISSÃO DE REDAÇÃO.\nRECEBIDO NA CR EM 22 6 1990."", ""TERCEIRA DISCUSSÃO.\nRELATOR: DEP. JOSÉ LAVIOLA.\nPARECER PELA APROVAÇÃO. APROVADO.\nPUBLICADO NO DL EM 6 6 1990."", ""APROVADO EM SEGUNDA DISCUSSÃO.\nÀ COMISSÃO DE CONSTITUIÇÃO E JUSTIÇA.\nRECEBIDO NA CCJ EM 17 5 1990."", 
""ENCERRADA A SEGUNDA DISCUSSÃO E ADIADA A VOTAÇÃO POR\nFALTA DE QUORUM."", ""SEGUNDA DISCUSSÃO.\nRELATORA: DEP. MARIA JOSÉ HAUEISEN.\nPARECER PELA APROVAÇÃO. APROVADO.\nPUBLICADO NO DL EM 18 4 1990."", ""APROVADO EM PRIMEIRA DISCUSSÃO.\nÀ COMISSÃO DE CONSTITUIÇÃO E JUSTIÇA.\nRECEBIDO NA CCJ EM 13 3 1989."", ""AGUARDANDO INCLUSÃO EM ORDEM DO DIA PARA PRIMEIRA DISCUSSÃO."", ""SUSPENSA A TRAMITAÇÃO NOS TERMOS DO ART. 238 DO RI.""))",list(),list(),N,"list(id = 1698, nome = ""DEPUTADO RAIMUNDO ALBERGARIA"", partido = ""PDS"")",UTILIDADE PÚBLICA,LEI 10238 1990 - LEI ORDINÁRIA,1018,NA,NA,NA,NULL,NA,NA,/legislacao/mineira/LEI/10238/1990,LEI 10238 1990 - LEI ORDINÁRIA,PRL 10943 1990
Remissivo,PROJETO DE LEI,PL,2150,1989,DEPUTADO JAIME MARTINS                     PFL,CONCEDE O TÍTULO DE CIDADÃO HONORÁRIO AO SR. ANTÔNIO DE ARAÚJO RODRIGUES.,"CONCESSÃO HONORÍFICA, TÍTULO, CIDADÃO HONORÁRIO.",ARQUIVADO,ARQVD,OUTRAS SITUAÇÕES,MOUTR,1989-12-23,000139283,PL. 2150 1989 - PROJETO DE LEI,2800,20150325,malves,1990-12-17,"list(passo = 5:1, data = c(""1990-12-17"", ""1990-03-21"", ""1990-02-21"", ""1990-02-15"", ""1989-12-15""), local = c(""PLENÁRIO"", ""PLENÁRIO"", ""PLENÁRIO"", ""PLENÁRIO"", ""PLENÁRIO""), historico = c(""ARQUIVADO NOS TERMOS DO ART. 185 DO RI."", ""A PRESIDÊNCIA TORNA SEM EFEITO O DESPACHO ANTERIOR, DE\nACORDO COM O ART. 90, INCISO XVII, DA CONSTITUIÇÃO DO\nESTADO.\nA COMISSÃO DE CONSTITUIÇÃO E JUSTIÇA PARA EMITIR PARECER\nSOBRE A CONSTITUCIONALIDADE DO PROJETO (ART. 116 DO\nRI).\nRECEBIDO NA CCJ EM 22 3 1990."", ""APROVADO EM PRIMEIRA DISCUSSÃO.\nAO CONSELHO DA MEDALHA DA INCONFIDÊNCIA E A\nCOMISSÃO DE CONSTITUIÇÃO E JUSTIÇA.\nRECEBIDO NO CONSELHO DA MEDALHA EM 22 2 1990."", 
""AGUARDANDO INCLUSÃO EM ORDEM DO DIA PARA PRIMEIRA DISCUSSÃO."", ""SUSPENSA A TRAMITAÇÃO NOS TERMOS DO ART. 238 DO RI.""))",list(),list(),N,"list(id = 2800, nome = ""DEPUTADO JAIME MARTINS"", partido = ""PFL"")",HOMENAGEM,NA,1752,NA,NA,NA,NULL,NA,NA,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,2149,1989,DEPUTADO DELFIM RIBEIRO                    PFL,"DECLARA DE UTILIDADE PÚBLICA A FUNDAÇÃO JOSÉ PEDRO DE ARAÚJO, DE BELO
HORIZONTE.","DECLARAÇÃO, UTILIDADE PÚBLICA, ENTIDADE, MUNICÍPIO, BELO HORIZONTE.",TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1989-12-23,000139284,PL. 2149 1989 - PROJETO DE LEI,1743,20160926,malves,1990-07-31,"list(passo = 11:1, data = c(""1990-07-31"", ""1990-07-11"", ""1990-06-28"", ""1990-06-28"", ""1990-06-22"", ""1990-05-31"", ""1990-05-21"", ""1990-04-19"", ""1990-03-12"", ""1990-02-15"", ""1989-12-15""), local = c(""GOVERNADOR DO ESTADO"", ""COORDENAÇÃO REDAÇÃO E REVISÃO"", ""PLENÁRIO"", ""COMISSÃO REDAÇÃO"", ""PLENÁRIO"", ""COMISSÃO CONSTITUIÇÃO E JUSTIÇA"", ""PLENÁRIO"", ""COMISSÃO CONSTITUIÇÃO E JUSTIÇA"", ""PLENÁRIO"", ""PLENÁRIO"", ""PLENÁRIO""), historico = c(""PROPOSIÇÃO DE LEI SANCIONADA.\nLEI 10258 PUBLICADA NO DIÁRIO DO EXECUTIVO EM 1 8 1990."", 
""REMESSA DO OFÍCIO 1699/1990/CRR AO GOVERNADOR DO ESTADO\nENCAMINHANDO A PROPOSIÇÃO DE LEI 10971 PARA SANÇÃO."", ""APROVADO EM REDAÇÃO FINAL.\nÀ SANÇÃO."", ""REDAÇÃO FINAL.\nRELATOR: DEP. MAURO MORAES.\nPARECER PELA APROVAÇÃO. APROVADO.\nPUBLICADO NO DL EM 4 7 1990."", ""APROVADO EM TERCEIRA DISCUSSÃO.\nÀ COMISSÃO DE REDAÇÃO.\nRECEBIDO NA CR EM 22 6 1990."", ""TERCEIRA DISCUSSÃO.\nRELATOR: DEP. JOSÉ LAVIOLA.\nPARECER PELA APROVAÇÃO. APROVADO.\nPUBLICADO NO DL EM 5 6 1990."", ""APROVADO EM SEGUNDA DISCUSSÃO.\nÀ COMISSÃO DE CONSTITUIÇÃO E JUSTIÇA.\nRECEBIDO NA CCJ EM 22 5 1990."", 
""SEGUNDA DISCUSSÃO.\nRELATOR: DEP. LUIZ VICENTE.\nPARECER PELA APROVAÇÃO. APROVADO.\nPUBLICADO NO DL EM 24 4 1990."", ""APROVADO EM PRIMEIRA DISCUSSÃO.\nÀ COMISSÃO DE CONSTITUIÇÃO E JUSTIÇA.\nRECEBIDO NA CCJ EM 13 3 1989."", ""AGUARDANDO INCLUSÃO EM ORDEM DO DIA PARA PRIMEIRA DISCUSSÃO."", ""SUSPENSA A TRAMITAÇÃO NOS TERMOS DO ART. 238 DO RI.""))",list(),list(),N,"list(id = 1743, nome = ""DEPUTADO DELFIM RIBEIRO"", partido = ""PFL"")",UTILIDADE PÚBLICA,LEI 10258 1990 - LEI ORDINÁRIA,1607,NA,NA,NA,NULL,NA,NA,/legislacao/mineira/LEI/10258/1990,LEI 10258 1990 - LEI ORDINÁRIA,PRL 10971 1990
Remissivo,PROJETO DE LEI,PL,2148,1989,DEPUTADO RONALDO VASCONCELLOS              PMDB,ALTERA A TOPONÍMIA DO MUNICÍPIO DE SILVIANÓPOLIS.,"ALTERAÇÃO, DENOMINAÇÃO, MUNICÍPIO, SILVIANÓPOLIS, TRANSFORMAÇÃO,
SANT'ANA DO SAPUCAÍ.",ARQUIVADO,ARQVD,OUTRAS SITUAÇÕES,MOUTR,1989-12-23,000139285,PL. 2148 1989 - PROJETO DE LEI,3686,19980101,Carga,1990-12-17,"list(passo = 5:1, data = c(""1990-12-17"", ""1990-12-10"", ""1990-03-15"", ""1990-02-15"", ""1989-12-15""), local = c(""PLENÁRIO"", ""COMISSÃO CONSTITUIÇÃO E JUSTIÇA"", ""PLENÁRIO"", ""PLENÁRIO"", ""PLENÁRIO""), historico = c(""ARQUIVADO NOS TERMOS DO ART. 185 DO RI."", ""SEGUNDA DISCUSSÃO.\nRELATOR: DEP. FELIPE NERI.\nCONVERTIDO EM DILIGÊNCIA AO AUTOR POR DETERMINAÇÃO DO\nPRESIDENTE DA COMISSÃO.\nCUMPRIDA A DILIGÊNCIA EM 11 12 1990.\nRECEBIDO NA CCJ EM 11 12 1990."", ""APROVADO EM PRIMEIRA DISCUSSÃO.\nÀS COMISSÕES DE CONSTITUIÇÃO E JUSTIÇA E DE ASSUNTOS\nMUNICIPAIS E PLANEJAMENTOS REGIONAIS.\nRECEBIDO NA CCJ EM 15 3 1990."", 
""AGUARDANDO INCLUSÃO EM ORDEM DO DIA PARA PRIMEIRA DISCUSSÃO."", ""SUSPENSA A TRAMITAÇÃO NOS TERMOS DO ART. 238 DO RI.""))",list(),list(),N,"list(id = 3686, nome = ""DEPUTADO RONALDO VASCONCELLOS"", partido = ""PMDB"")",NA,NA,NA,NA,NA,NA,NULL,NA,NA,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,2147,1989,DEPUTADO DELFIM RIBEIRO                    PFL,"DECLARA DE UTILIDADE PÚBLICA A FUNDAÇÃO VICINTIN, COM SEDE NA
CIDADE DE BELO HORIZONTE.","DECLARAÇÃO, UTILIDADE PÚBLICA, INSTITUIÇÃO ASSISTENCIAL,
MUNICÍPIO, BELO HORIZONTE.",TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1989-12-16,000139293,PL. 2147 1989 - PROJETO DE LEI,1743,20080717,drumo,1990-07-12,"list(passo = 12:1, data = c(""1990-07-12"", ""1990-07-03"", ""1990-06-27"", ""1990-06-27"", ""1990-06-22"", ""1990-05-31"", ""1990-05-21"", ""1990-05-08"", ""1990-03-20"", ""1990-03-12"", ""1990-02-15"", ""1989-12-14""), local = c(""GOVERNADOR DO ESTADO"", ""COORDENAÇÃO REDAÇÃO E REVISÃO"", ""PLENÁRIO"", ""COMISSÃO REDAÇÃO"", ""PLENÁRIO"", ""COMISSÃO CONSTITUIÇÃO E JUSTIÇA"", ""PLENÁRIO"", ""COMISSÃO CONSTITUIÇÃO E JUSTIÇA"", ""COMISSÃO CONSTITUIÇÃO E JUSTIÇA"", ""PLENÁRIO"", ""PLENÁRIO"", ""PLENÁRIO""), historico = c(""PROPOSIÇÃO DE LEI SANCIONADA.\nLEI 10230 PUBLICADA NO DIÁRIO DO EXECUTIVO EM 13 7 1990."", 
""REMESSA DO OFÍCIO 1652/1990/CRR AO GOVERNADOR DO ESTADO\nENCAMINHANDO A PROPOSIÇÃO DE LEI 10942 PARA SANÇÃO."", ""APROVADO EM REDAÇÃO FINAL.\nÀ SANÇÃO."", ""REDAÇÃO FINAL.\nRELATOR: DEP. JORGE HANNAS.\nPARECER PELA APROVAÇÃO. APROVADO.\nPUBLICADO NO DL EM 29 6 1990."", ""APROVADO EM TERCEIRA DISCUSSÃO.\nÀ COMISSÃO DE REDAÇÃO.\nRECEBIDO NA CR EM 22 6 1990."", ""TERCEIRA DISCUSSÃO.\nRELATOR: DEP. JOSÉ LAVIOLA.\nPARECER PELA APROVAÇÃO. APROVADO.\nPUBLICADO NO DL EM 5 6 1990."", ""APROVADO EM SEGUNDA DISCUSSÃO.\nÀ COMISSÃO DE CONSTITUIÇÃO E JUSTIÇA.\nRECEBIDO NA CCJ EM 22 5 1990."", 
""SEGUNDA DISCUSSÃO.\nRELATOR: DEP. LUIZ VICENTE.\nPARECER PELA APROVAÇÃO. APROVADO.\nPUBLICADO NO DL EM 16 5 1990."", ""SEGUNDA DISCUSSÃO.\nCONVERTIDO EM DILIGÊNCIA AO AUTOR, POR DETERMINAÇÃO DO\nPRESIDENTE DA COMISSÃO.\nCUMPRIDA A DILIGÊNCIA EM 10 4 1990.\nRECEBIDO NA CCJ EM 10 4 1990."", ""APROVADO EM PRIMEIRA DISCUSSÃO.\nÀ COMISSÃO DE CONSTITUIÇÃO E JUSTIÇA.\nRECEBIDO NA CCJ EM 13 3 1989."", ""AGUARDANDO INCLUSÃO EM ORDEM DO DIA PARA PRIMEIRA DISCUSSÃO."", ""SUSPENSA A TRAMITAÇÃO NOS TERMOS DO ART. 238 DO RI.""
))",list(),list(),N,"list(id = 1743, nome = ""DEPUTADO DELFIM RIBEIRO"", partido = ""PFL"")",UTILIDADE PÚBLICA,LEI 10230 1990 - LEI ORDINÁRIA,1919,NA,NA,NA,NULL,NA,NA,/legislacao/mineira/LEI/10230/1990,LEI 10230 1990 - LEI ORDINÁRIA,PRL 10942 1990
Remissivo,PROJETO DE LEI,PL,2145,1989,DEPUTADO PAULO PEREIRA                     PL,"DECLARA DE UTILIDADE PÚBLICA A ASSOCIAÇÃO NACIONAL DE CRIADORES DE
GIROLANDO - ASSOLEITE -, COM SEDE NA CIDADE DE UBERABA.","DECLARAÇÃO, UTILIDADE PÚBLICA, ASSOCIAÇÃO DE CRIADORES DE
GIROLANDO, MUNICÍPIO, UBERABA.",TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1989-12-16,000139294,PL. 2145 1989 - PROJETO DE LEI,3679,20080717,drumo,1990-07-12,"list(passo = 12:1, data = c(""1990-07-12"", ""1990-07-03"", ""1990-06-27"", ""1990-06-27"", ""1990-06-22"", ""1990-06-07"", ""1990-05-16"", ""1990-04-20"", ""1990-03-20"", ""1990-02-19"", ""1990-02-15"", ""1989-12-14""), local = c(""GOVERNADOR DO ESTADO"", ""COORDENAÇÃO REDAÇÃO E REVISÃO"", ""PLENÁRIO"", ""COMISSÃO REDAÇÃO"", ""PLENÁRIO"", ""COMISSÃO CONSTITUIÇÃO E JUSTIÇA"", ""PLENÁRIO"", ""PLENÁRIO"", ""COMISSÃO CONSTITUIÇÃO E JUSTIÇA"", ""PLENÁRIO"", ""PLENÁRIO"", ""PLENÁRIO""), historico = c(""PROPOSIÇÃO DE LEI SANCIONADA.\nLEI 10231 PUBLICADA NO DIÁRIO DO EXECUTIVO EM 13 7 1990."", 
""REMESSA DO OFÍCIO 1652/1990/CRR AO GOVERNADOR DO ESTADO\nENCAMINHANDO A PROPOSIÇÃO DE LEI 10941 PARA SANÇÃO."", ""APROVADO EM REDAÇÃO FINAL.\nÀ SANÇÃO."", ""REDAÇÃO FINAL.\nRELATOR: DEP. JORGE HANNAS.\nPARECER PELA APROVAÇÃO. APROVADO.\nPUBLICADO NO DL EM 29 6 1990."", ""APROVADO EM TERCEIRA DISCUSSÃO.\nÀ COMISSÃO DE REDAÇÃO.\nRECEBIDO NA CR EM 22 6 1990."", ""TERCEIRA DISCUSSÃO.\nRELATOR: DEP. LUIZ VICENTE.\nPARECER PELA APROVAÇÃO. APROVADO.\nPUBLICADO NO DL EM 20 6 1990."", ""APROVADO EM SEGUNDA DISCUSSÃO.\nÀ COMISSÃO DE CONSTITUIÇÃO E JUSTIÇA.\nRECEBIDO NA CCJ EM 17 5 1990."", 
""ENCERRADA A SEGUNDA DISCUSSÃO E ADIADA A VOTAÇÃO POR\nFALTA DE QUORUM."", ""SEGUNDA DISCUSSÃO.\nRELATOR: DEP. JOSÉ MILITÃO.\nPARECER PELA APROVAÇÃO. APROVADO.\nPUBLICADO NO DL EM 26 3 1990."", ""APROVADO EM PRIMEIRA DISCUSSÃO.\nÀ COMISSÃO DE CONSTITUIÇÃO E JUSTIÇA.\nRECEBIDO NA CCJ EM 20 2 1990."", ""AGUARDANDO INCLUSÃO EM ORDEM DO DIA PARA PRIMEIRA DISCUSSÃO."", ""SUSPENSA A TRAMITAÇÃO NOS TERMOS DO ART. 238 DO RI.""))",list(),list(),N,"list(id = 3679, nome = ""DEPUTADO PAULO PEREIRA"", partido = ""PL"")",UTILIDADE PÚBLICA,LEI 10231 1990 - LEI ORDINÁRIA,1918,NA,NA,NA,NULL,NA,NA,/legislacao/mineira/LEI/10231/1990,LEI 10231 1990 - LEI ORDINÁRIA,PRL 10941 1990
Remissivo,PROJETO DE LEI,PL,2144,1989,DEPUTADO PAULO PEREIRA                     PL,"DECLARA DE UTILIDADE PÚBLICA A ASSOCIAÇÃO BRASILEIRA DOS CRIADORES
DE CABRAS LEITEIRAS - CAPRILEITE -, COM SEDE EM BELO HORIZONTE.","DECLARAÇÃO, UTILIDADE PÚBLICA, ASSOCIAÇÃO DE CRIADORES DE CABRAS
LEITEIRAS, MUNICÍPIO, BELO HORIZONTE.",ARQUIVADO,ARQVD,OUTRAS SITUAÇÕES,MOUTR,1989-12-16,000139295,PL. 2144 1989 - PROJETO DE LEI,3679,20080717,drumo,1990-12-17,"list(passo = 5:1, data = c(""1990-12-17"", ""1990-03-20"", ""1990-02-19"", ""1990-02-15"", ""1989-12-14""), local = c(""PLENÁRIO"", ""COMISSÃO CONSTITUIÇÃO E JUSTIÇA"", ""PLENÁRIO"", ""PLENÁRIO"", ""PLENÁRIO""), historico = c(""ARQUIVADO NOS TERMOS DO ART. 185 DO RI."", ""SEGUNDA DISCUSSÃO.\nCONVERTIDO EM DILIGÊNCIA AO AUTOR, POR DETERMINAÇÃO DO\nPRESIDENTE DA COMISSÃO."", ""APROVADO EM PRIMEIRA DISCUSSÃO.\nÀ COMISSÃO DE CONSTITUIÇÃO E JUSTIÇA.\nRECEBIDO NA CCJ EM 20 2 1990."", ""AGUARDANDO INCLUSÃO EM ORDEM DO DIA PARA PRIMEIRA DISCUSSÃO."", 
""SUSPENSA A TRAMITAÇÃO NOS TERMOS DO ART. 238 DO RI.""))",list(),list(),N,"list(id = 3679, nome = ""DEPUTADO PAULO PEREIRA"", partido = ""PL"")",UTILIDADE PÚBLICA,NA,1917,NA,NA,NA,NULL,NA,NA,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,2143,1989,DEPUTADO PAULO PEREIRA                     PL,"DECLARA DE UTILIDADE PÚBLICA A ASSOCIAÇÃO MINEIRA DOS CRIADORES DE
ZEBU - AMCZ -, COM SEDE NA CIDADE DE CURVELO.","DECLARAÇÃO, UTILIDADE PÚBLICA, ASSOCIAÇÃO DE CRIADORES, ZEBUINO,
MUNICÍPIO, CURVELO.",TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1989-12-16,000139296,PL. 2143 1989 - PROJETO DE LEI,3679,20080717,drumo,1990-07-31,"list(passo = 12:1, data = c(""1990-07-31"", ""1990-07-11"", ""1990-06-28"", ""1990-06-28"", ""1990-06-22"", ""1990-05-31"", ""1990-05-16"", ""1990-04-20"", ""1990-03-20"", ""1990-02-19"", ""1990-02-15"", ""1989-12-14""), local = c(""GOVERNADOR DO ESTADO"", ""COORDENAÇÃO REDAÇÃO E REVISÃO"", ""PLENÁRIO"", ""COMISSÃO REDAÇÃO"", ""PLENÁRIO"", ""COMISSÃO CONSTITUIÇÃO E JUSTIÇA"", ""PLENÁRIO"", ""PLENÁRIO"", ""COMISSÃO CONSTITUIÇÃO E JUSTIÇA"", ""PLENÁRIO"", ""PLENÁRIO"", ""PLENÁRIO""), historico = c(""PROPOSIÇÃO DE LEI SANCIONADA.\nLEI 10259 PUBLICADA NO DIÁRIO DO EXECUTIVO EM 1 8 1990."", 
""REMESSA DO OFÍCIO 1699/1990/CRR AO GOVERNADOR DO ESTADO\nENCAMINHANDO A PROPOSIÇÃO DE LEI 10970 PARA SANÇÃO."", ""APROVADO EM REDAÇÃO FINAL.\nÀ SANÇÃO."", ""REDAÇÃO FINAL.\nRELATOR: DEP. BERNARDO RUBINGER.\nPARECER PELA APROVAÇÃO. APROVADO.\nPUBLICADO NO DL EM 4 7 1990."", ""APROVADO EM TERCEIRA DISCUSSÃO.\nÀ COMISSÃO DE REDAÇÃO.\nRECEBIDO NA CR EM 22 6 1990."", ""TERCEIRA DISCUSSÃO.\nRELATOR: DEP. JOSÉ LAVIOLA.\nPARECER PELA APROVAÇÃO. APROVADO.\nPUBLICADO NO DL EM 7 6 1990."", ""APROVADO EM SEGUNDA DISCUSSÃO.\nÀ COMISSÃO DE CONSTITUIÇÃO E JUSTIÇA.\nRECEBIDO NA CCJ EM 17 5 1990."", 
""ENCERRADA A SEGUNDA DISCUSSÃO E ADIADA A VOTAÇÃO POR\nFALTA DE QUORUM."", ""SEGUNDA DISCUSSÃO.\nRELATOR: DEP. PAULO FERNANDO.\nPARECER PELA APROVAÇÃO. APROVADO.\nPUBLICADO NO DL EM 27 3 1990."", ""APROVADO EM PRIMEIRA DISCUSSÃO.\nÀ COMISSÃO DE CONSTITUIÇÃO E JUSTIÇA.\nRECEBIDO NA CCJ EM 20 2 1990."", ""AGUARDANDO INCLUSÃO EM ORDEM DO DIA PARA PRIMEIRA DISCUSSÃO."", ""SUSPENSA A TRAMITAÇÃO NOS TERMOS DO ART. 238 DO RI.""))",list(),list(),N,"list(id = 3679, nome = ""DEPUTADO PAULO PEREIRA"", partido = ""PL"")",UTILIDADE PÚBLICA,LEI 10259 1990 - LEI ORDINÁRIA,1916,NA,NA,NA,NULL,NA,NA,/legislacao/mineira/LEI/10259/1990,LEI 10259 1990 - LEI ORDINÁRIA,PRL 10970 1990
Remissivo,PROJETO DE LEI,PL,2142,1989,DEPUTADA MARIA ELVIRA                      PMDB,"DECLARA DE UTILIDADE PÚBLICA O CENTRO ESPÍRITA SANTANA DE NAZARÉ,
DE BELO HORIZONTE.","DECLARAÇÃO, UTILIDADE PÚBLICA, INSTITUIÇÃO RELIGIOSA, MUNICÍPIO,
BELO HORIZONTE.",TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1989-12-16,000139297,PL. 2142 1989 - PROJETO DE LEI,3670,20080717,drumo,1990-07-12,"list(passo = 11:1, data = c(""1990-07-12"", ""1990-07-03"", ""1990-06-27"", ""1990-06-27"", ""1990-06-22"", ""1990-05-31"", ""1990-05-21"", ""1990-04-19"", ""1990-03-12"", ""1990-02-15"", ""1989-12-14""), local = c(""GOVERNADOR DO ESTADO"", ""COORDENAÇÃO REDAÇÃO E REVISÃO"", ""PLENÁRIO"", ""COMISSÃO REDAÇÃO"", ""PLENÁRIO"", ""COMISSÃO CONSTITUIÇÃO E JUSTIÇA"", ""PLENÁRIO"", ""COMISSÃO CONSTITUIÇÃO E JUSTIÇA"", ""PLENÁRIO"", ""PLENÁRIO"", ""PLENÁRIO""), historico = c(""PROPOSIÇÃO DE LEI SANCIONADA.\nLEI 10229 PUBLICADA NO DIÁRIO DO EXECUTIVO EM 13 7 1990."", 
""REMESSA DO OFÍCIO 1652/1990/CRR AO GOVERNADOR DO ESTADO\nENCAMINHANDO A PROPOSIÇÃO DE LEI 10940 PARA SANÇÃO."", ""APROVADO EM REDAÇÃO FINAL.\nÀ SANÇÃO."", ""REDAÇÃO FINAL.\nRELATOR: DEP. DIRCEU PEREIRA.\nPARECER PELA APROVAÇÃO. APROVADO.\nPUBLICADO NO DL EM 29 6 1990."", ""APROVADO EM TERCEIRA DISCUSSÃO.\nÀ COMISSÃO DE REDAÇÃO.\nRECEBIDO NA CR EM 22 6 1990."", ""TERCEIRA DISCUSSÃO.\nRELATOR: DEP. JOSÉ LAVIOLA.\nPARECER PELA APROVAÇÃO. APROVADO.\nPUBLICADO NO DL EM 6 6 1990."", ""APROVADO EM SEGUNDA DISCUSSÃO.\nÀ COMISSÃO DE CONSTITUIÇÃO E JUSTIÇA.\nRECEBIDO NA CCJ EM 22 5 1990."", 
""SEGUNDA DISCUSSÃO.\nRELATOR: DEP. LUIZ VICENTE.\nPARECER PELA APROVAÇÃO. APROVADO.\nPUBLICADO NO DL EM 25 4 1990."", ""APROVADO EM PRIMEIRA DISCUSSÃO.\nÀ COMISSÃO DE CONSTITUIÇÃO E JUSTIÇA.\nRECEBIDO NA CCJ EM 13 3 1989."", ""AGUARDANDO INCLUSÃO EM ORDEM DO DIA PARA PRIMEIRA DISCUSSÃO."", ""SUSPENSA A TRAMITAÇÃO NOS TERMOS DO ART. 238 DO RI.""))",list(),list(),N,"list(id = 3670, nome = ""DEPUTADA MARIA ELVIRA"", partido = ""PMDB"")",UTILIDADE PÚBLICA,LEI 10229 1990 - LEI ORDINÁRIA,1916,NA,NA,NA,NULL,NA,NA,/legislacao/mineira/LEI/10229/1990,LEI 10229 1990 - LEI ORDINÁRIA,PRL 10940 1990
