dominio,tipoProjeto,siglaTipoProjeto,numero,ano,autor,ementa,indexacao,situacao,siglaSituacao,situacaoGeral,siglaSituacaoGeral,dataPublicacao,numeroDoc,proposicao,atualizacao,usuario,dataUltimaAcao,listaHistoricoTramitacoes,links,linksProposicoesAnexadas,linksOrigem,acompanhamento,observacao,matricula,assuntoGeral,horario,autoresEstruturados,legislacaoCitada,tema,regime,norma,prazo,linkLegislacao.url,linkLegislacao.rotulo,proposicaoLei.descricao
Remissivo,PROJETO DE LEI,PL,2646,1990,GOVERNADOR NEWTON CARDOSO,"AUTORIZA O PODER EXECUTIVO A DOAR BENS MÓVEIS A ENTIDADES QUE
MENCIONA.","AUTORIZAÇÃO, EXECUTIVO, DOAÇÃO, TRATOR, ACESSÓRIOS NATURAIS,
REFERÊNCIA, CONVÊNIO, ENTIDADE, SECRETARIA DE ESTADO DE
AGRICULTURA PECUÁRIA E ABASTECIMENTO (SEAPA), DESTINAÇÃO, ASSISTÊNCIA,
PEQUENO PRODUTOR RURAL.",RETIRADO DE TRAMITAÇÃO,RETRA,OUTRAS SITUAÇÕES,MOUTR,1990-12-29,000137719,PL. 2646 1990 - PROJETO DE LEI,19980101,Carga,1991-04-08,"list(passo = 6:1, data = c(""1991-04-08"", ""1991-04-04"", ""1991-04-02"", ""1991-03-22"", ""1991-03-06"", ""1990-12-28""), local = c(""MESA DA ASSEMBLÉIA"", ""PLENÁRIO"", ""COMISSÃO CONSTITUIÇÃO E JUSTIÇA"", ""PLENÁRIO"", ""COMISSÃO CONSTITUIÇÃO E JUSTIÇA"", ""PLENÁRIO""), historico = c(""REMESSA DO OFÍCIO 628/1991/SGM AO GOVERNADOR DO ESTADO\nCOMUNICANDO  A RETIRADA DA PROPOSIÇÃO."", ""RETIRADO DE TRAMITAÇÃO EM VIRTUDE DE REQUERIMENTO DO\nGOVERNADOR. APROVADO.\nOFICIE-SE."", ""DEVOLVIDO AO PLENÁRIO PARA INCLUSÃO EM ORDEM DO DIA."", 
""APRESENTADO PELO GOVERNADOR HÉLIO GARCIA REQUERIMENTO DE\nRETIRADA DE PROPOSIÇÃO, ATRAVÉS DO OFÍCIO 25/1991.\nINCLUA-SE NA ORDEM DO DIA PARA EFEITO DO ART. 276 DO RI.\nOFÍCIO PUBLICADO NO DL EM 28 3 1991."", ""PRIMEIRO TURNO.\nRELATOR: DEP. BONIFÁCIO MOURÃO."", ""ÀS COMISSÕES DE CONSTITUIÇÃO E JUSTIÇA, DE AGROPECUÁRIA\nE POLÍTICA RURAL E DE FISCALIZAÇÃO FINANCEIRA E\nORÇAMENTÁRIA PARA PARECER.\nRECEBIDO NA CCJ EM 30 1 1991.""))",list(),list(),"list(descricao = ""MSG 1916 1990"")",N,NA,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,2643,1990,DEPUTADO JOÃO BOSCO MARTINS                PDT,"DECLARA DE UTILIDADE PÚBLICA A ASSOCIAÇÃO COMUNITÁRIA DOS BAIRROS
ARAGUAIA, BONSUCESSO E JARDIM BARREIRO, COM SEDE NA CIDADE DE BELO
HORIZONTE.","DECLARAÇÃO, UTILIDADE PÚBLICA, ASSOCIAÇÃO COMUNITÁRIA, LOCALIDADE,
BAIRRO ARAGUAIA, BOM SUCESSO, JARDIM BARREIRO, MUNICÍPIO, BELO
HORIZONTE.",ARQUIVADO,ARQVD,OUTRAS SITUAÇÕES,MOUTR,1990-12-14,000137738,PL. 2643 1990 - PROJETO DE LEI,20080718,drumo,1990-12-17,"list(passo = 2:1, data = c(""1990-12-17"", ""1990-12-12""), local = c(""PLENÁRIO"", ""PLENÁRIO""), historico = c(""ARQUIVADO NOS TERMOS DO ART. 185 DO RI."", ""ÀS COMISSÕES DE CONSTITUIÇÃO E JUSTIÇA, PARA EXAME\nPRELIMINAR, E DE SAÚDE E AÇÃO SOCIAL, PARA DELIBERAÇÃO.\nRECEBIDO NA CCJ EM 14 12 1990.""))",list(),list(),NULL,N,"DELIBERAÇÃO CONCLUSIVA DAS COMISSÕES, ART. 104, INCISO I, RI.",3703,UTILIDADE PÚBLICA,1059,"list(id = 3703, nome = ""DEPUTADO JOÃO BOSCO MARTINS"", partido = ""PDT"")",NA,NA,NA,NA,NA,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,2642,1990,DEPUTADO JOÃO BOSCO MARTINS                PDT,"DECLARA DE UTILIDADE PÚBLICA A ASSOCIAÇÃO COMUNITÁRIA DOS
MORADORES DO BAIRRO ITATIAIA, COM SEDE NA CIDADE DE BELO
HORIZONTE.","DECLARAÇÃO, UTILIDADE PÚBLICA, ASSOCIAÇÃO COMUNITÁRIA, LOCALIDADE,
BAIRRO ITATIAIA, MUNICÍPIO, BELO HORIZONTE.",ARQUIVADO,ARQVD,OUTRAS SITUAÇÕES,MOUTR,1990-12-14,000137739,PL. 2642 1990 - PROJETO DE LEI,20080718,drumo,1990-12-17,"list(passo = 2:1, data = c(""1990-12-17"", ""1990-12-12""), local = c(""PLENÁRIO"", ""PLENÁRIO""), historico = c(""ARQUIVADO NOS TERMOS DO ART. 185 DO RI."", ""ÀS COMISSÕES DE CONSTITUIÇÃO E JUSTIÇA, PARA EXAME\nPRELIMINAR, E DE SAÚDE E AÇÃO SOCIAL, PARA DELIBERAÇÃO.\nRECEBIDO NA CCJ EM 14 12 1990.""))",list(),list(),NULL,N,"DELIBERAÇÃO CONCLUSIVA DAS COMISSÕES, ART. 104, INCISO I, RI.",3703,UTILIDADE PÚBLICA,1058,"list(id = 3703, nome = ""DEPUTADO JOÃO BOSCO MARTINS"", partido = ""PDT"")",NA,NA,NA,NA,NA,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,2641,1990,DEPUTADO JOÃO BOSCO MARTINS                PDT,"DECLARA DE UTILIDADE PÚBLICA A ASSOCIAÇÃO COMUNITÁRIA SÃO
TARCÍSIO, COM SEDE NO DISTRITO DE SÃO JOAQUIM DE BICAS, MUNICÍPIO
DE IGARAPÉ.","DECLARAÇÃO, UTILIDADE PÚBLICA, ASSOCIAÇÃO COMUNITÁRIA, DISTRITO,
SÃO JOAQUIM DE BICAS, MUNICÍPIO, IGARAPÉ.",ARQUIVADO,ARQVD,OUTRAS SITUAÇÕES,MOUTR,1990-12-14,000137740,PL. 2641 1990 - PROJETO DE LEI,20080718,drumo,1990-12-17,"list(passo = 2:1, data = c(""1990-12-17"", ""1990-12-12""), local = c(""PLENÁRIO"", ""PLENÁRIO""), historico = c(""ARQUIVADO NOS TERMOS DO ART. 185 DO RI.\nREQUERIMENTO DO DEP. JOSÉ MILITÃO SOLICITANDO O\nDESARQUIVAMENTO DO PROJETO.\nREQUERIMENTO PUBLICADO NO DL EM 7 3 1991."", ""ÀS COMISSÕES DE CONSTITUIÇÃO E JUSTIÇA, PARA EXAME\nPRELIMINAR, E DE EDUCAÇÃO, CULTURA, DESPORTO E TURISMO E\nLAZER, PARA DELIBERAÇÃO.""))","list(expressao = ""(PL adj '68' adj 1991[PROP])[dbmt]"", banco = ""mate"", descricao = ""PL. 68 1991"", url = ""/proposicoes/pesquisa/avancada?expr=%28PL+adj+%2768%27+adj+1991%5BPROP%5D%29%5Bdbmt%5D"", tipo = ""PL"", numero = 68, ano = 1991)",list(),NULL,N,"DELIBERAÇÃO CONCLUSIVA DAS COMISSÕES, ART. 104, INCISO I, RI.",3703,UTILIDADE PÚBLICA,1057,"list(id = 3703, nome = ""DEPUTADO JOÃO BOSCO MARTINS"", partido = ""PDT"")",NA,NA,NA,NA,NA,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,2640,1990,DEPUTADO JOSÉ BELATO                       PMDB,"DECLARA DE UTILIDADE PÚBLICA A ASSOCIAÇÃO COMUNITÁRIA GIMIRIM -
ACG, COM SEDE NA CIDADE DE POÇO FUNDO.","DECLARAÇÃO, UTILIDADE PÚBLICA, ASSOCIAÇÃO COMUNITÁRIA, MUNICÍPIO,
POÇO FUNDO.",ARQUIVADO,ARQVD,OUTRAS SITUAÇÕES,MOUTR,1990-12-14,000137741,PL. 2640 1990 - PROJETO DE LEI,20080718,drumo,1990-12-17,"list(passo = 2:1, data = c(""1990-12-17"", ""1990-12-12""), local = c(""PLENÁRIO"", ""PLENÁRIO""), historico = c(""ARQUIVADO NOS TERMOS DO ART. 185 DO RI."", ""ÀS COMISSÕES DE CONSTITUIÇÃO E JUSTIÇA, PARA EXAME\nPRELIMINAR, E DE SAÚDE E AÇÃO SOCIAL, PARA DELIBERAÇÃO.\nRECEBIDO NA CCJ EM 14 12 1990.""))",list(),list(),NULL,N,"DELIBERAÇÃO CONCLUSIVA DAS COMISSÕES, ART. 104, INCISO I, RI.",3671,UTILIDADE PÚBLICA,1057,"list(id = 3671, nome = ""DEPUTADO JOSÉ BELATO"", partido = ""PMDB"")",NA,NA,NA,NA,NA,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,2639,1990,GOVERNADOR NEWTON CARDOSO,"CRIA UMA DIRETORIA REGIONAL DE SAÚDE, COM SEDE NA CIDADE DE SÃO
LOURENÇO E DÁ OUTRAS PROVIDÊNCIAS.","CRIAÇÃO, DIRETORIA REGIONAL, SAÚDE, MUNICÍPIO, SÃO LOURENÇO.
CRIAÇÃO, CARGO EM COMISSÃO, ASSISTENTE ADMINISTRATIVO, DIRETOR,
COMPOSIÇÃO, QUADRO PERMANENTE, EXECUTIVO, DESTINAÇÃO, QUADRO
SETORIAL, SECRETARIA DE ESTADO DE SAÚDE (SES), DELEGACIA REGIONAL,
SAÚDE, MUNICÍPIO, SÃO LOURENÇO.",RETIRADO DE TRAMITAÇÃO,RETRA,OUTRAS SITUAÇÕES,MOUTR,1990-12-14,000137742,PL. 2639 1990 - PROJETO DE LEI,19980101,Carga,1991-04-08,"list(passo = 6:1, data = c(""1991-04-08"", ""1991-04-04"", ""1991-04-02"", ""1991-03-22"", ""1991-03-06"", ""1990-12-12""), local = c(""MESA DA ASSEMBLÉIA"", ""PLENÁRIO"", ""COMISSÃO CONSTITUIÇÃO E JUSTIÇA"", ""PLENÁRIO"", ""COMISSÃO CONSTITUIÇÃO E JUSTIÇA"", ""PLENÁRIO""), historico = c(""REMESSA DO OFÍCIO 628/1991/SGM AO GOVERNADOR DO ESTADO\nCOMUNICANDO A RETIRADA DA PROPOSIÇÃO."", ""RETIRADO DE TRAMITAÇÃO EM VIRTUDE DE REQUERIMENTO DO\nGOVERNADOR. APROVADO.\nOFICIE-SE."", ""DEVOLVIDO AO PLENÁRIO PARA INCLUSÃO EM ORDEM DO DIA."", 
""APRESENTADO PELO GOVERNADOR HÉLIO GARCIA REQUERIMENTO DE\nRETIRADA DE PROPOSIÇÃO, ATRAVÉS DO OFÍCIO 25/1991.\nINCLUA-SE NA ORDEM DO DIA PARA EFEITO DO ART. 276 DO RI.\nOFÍCIO PUBLICADO NO DL EM 28 3 1991."", ""PRIMEIRO TURNO.\nRELATORA: DEP. ELISA ALVES."", ""ÀS COMISSÕES DE CONSTITUIÇÃO E JUSTIÇA, DE SAÚDE E AÇÃO\nSOCIAL E DE FISCALIZAÇÃO FINANCEIRA E ORÇAMENTÁRIA, PARA\nPARECER.\nRECEBIDO NA CCJ EM 14 12 1990.""))",list(),list(),"list(descricao = ""MSG 1835 1990"")",N,NA,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,2638,1990,GOVERNADOR NEWTON CARDOSO,"CRIA UMA DIRETORIA REGIONAL DE SAÚDE, COM SEDE NA CIDADE DE
CURVELO, E DÁ OUTRAS PROVIDÊNCIAS.","CRIAÇÃO, DIRETORIA REGIONAL, SAÚDE, MUNICÍPIO, CURVELO.
CRIAÇÃO, CARGO EM COMISSÃO, ASSISTENTE ADMINISTRATIVO, DIRETOR,
COMPOSIÇÃO, QUADRO PERMANENTE, EXECUTIVO, DESTINAÇÃO, QUADRO
SETORIAL, SECRETARIA DE ESTADO DE SAÚDE (SES), DELEGACIA REGIONAL,
SAÚDE, MUNICÍPIO, CURVELO.",RETIRADO DE TRAMITAÇÃO,RETRA,OUTRAS SITUAÇÕES,MOUTR,1990-12-14,000137743,PL. 2638 1990 - PROJETO DE LEI,19980101,Carga,1991-04-08,"list(passo = 6:1, data = c(""1991-04-08"", ""1991-04-04"", ""1991-04-02"", ""1991-03-22"", ""1991-03-06"", ""1990-12-12""), local = c(""MESA DA ASSEMBLÉIA"", ""PLENÁRIO"", ""COMISSÃO DE SAÚDE E AÇÃO SOCIAL"", ""PLENÁRIO"", ""COMISSÃO CONSTITUIÇÃO E JUSTIÇA"", ""PLENÁRIO""), historico = c(""REMESSA DO OFÍCIO 628/1991/SGM AO GOVERNADOR DO ESTADO\nCOMUNICANDO A RETIRADA DA PROPOSIÇÃO."", ""RETIRADO DE TRAMITAÇÃO EM VIRTUDE DE REQUERIMENTO DO\nGOVERNADOR. APROVADO.\nOFICIE-SE."", ""DEVOLVIDO AO PLENÁRIO PARA INCLUSÃO EM ORDEM DO DIA."", 
""APRESENTADO PELO GOVERNADOR HÉLIO GARCIA REQUERIMENTO DE\nRETIRADA DE PROPOSIÇÃO, ATRAVÉS DO OFÍCIO 25/1991.\nINCLUA-SE NA ORDEM DO DIA PARA EFEITO DO ART. 276 DO RI.\nOFÍCIO PUBLICADO NO DL EM 28 3 1991."", ""PRIMEIRO TURNO.\nRELATOR: DEP. JOSÉ MARIA PINTO.\nPARECER PELA APROVAÇÃO. APROVADO.\nRECEBIDO NA CSA EM 6 3 1991."", ""ÀS COMISSÕES DE CONSTITUIÇÃO E JUSTIÇA, DE SAÚDE E AÇÃO\nSOCIAL E FISCALIZAÇÃO FINANCEIRA E ORÇAMENTÁRIA, PARA\nPARECER.\nRECEBIDO NA CCJ EM 14 12 1990.""))",list(),list(),"list(descricao = ""MSG 1834 1990"")",N,NA,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,2637,1990,GOVERNADOR NEWTON CARDOSO,"AUTORIZA O PODER EXECUTIVO A CONCEDER SUBVENÇÃO SOCIAL À FUNDAÇÃO
TRICORDIANA DE EDUCAÇÃO, COM SEDE EM TRÊS CORAÇÕES, E DÁ OUTRAS
PROVIDÊNCIAS.","AUTORIZAÇÃO, EXECUTIVO, CONCESSÃO, SUBVENÇÃO SOCIAL, FUNDAÇÃO,
EDUCAÇÃO, MUNICÍPIO, TRÊS CORAÇÕES.
AUTORIZAÇÃO, EXECUTIVO, ABERTURA, CRÉDITO ESPECIAL.",RETIRADO DE TRAMITAÇÃO,RETRA,OUTRAS SITUAÇÕES,MOUTR,1990-12-14,000137744,PL. 2637 1990 - PROJETO DE LEI,19980101,Carga,1991-04-08,"list(passo = 7:1, data = c(""1991-04-08"", ""1991-04-04"", ""1991-04-02"", ""1991-03-22"", ""1991-03-13"", ""1991-03-06"", ""1990-12-12""), local = c(""MESA DA ASSEMBLÉIA"", ""PLENÁRIO"", ""COMISSÃO EDUCAÇÃO, CULTURA, DESPORTO, TURISMO E LAZER"", ""PLENÁRIO"", ""COMISSÃO CONSTITUIÇÃO E JUSTIÇA"", ""COMISSÃO CONSTITUIÇÃO E JUSTIÇA"", ""PLENÁRIO""), historico = c(""REMESSA DO OFÍCIO 628/1991/SGM AO GOVERNADOR DO ESTADO\nCOMUNICANDO A RETIRADA DA PROPOSIÇÃO."", ""RETIRADO DE TRAMITAÇÃO EM VIRTUDE DE REQUERIMENTO DO\nGOVERNADOR. APROVADO.\nOFICIE-SE."", 
""DEVOLVIDO AO PLENÁRIO PARA INCLUSÃO EM ORDEM DO DIA."", ""APRESENTADO PELO GOVERNADOR HÉLIO GARCIA REQUERIMENTO DE\nRETIRADA DE PROPOSIÇÃO, ATRAVÉS DO OFÍCIO 25/1991.\nINCLUA-SE NA ORDEM DO DIA PARA EFEITO DO ART. 276 DO RI.\nOFÍCIO PUBLICADO NO DL EM 28 3 1991."", ""PRIMEIRO TURNO.\nRELATOR: DEP. ADELMO CARNEIRO LEÃO (REDISTRIBUÍDO)."", ""PRIMEIRO TURNO.\nRELATORA: DEP. ELISA ALVES."", ""ÀS COMISSÕES DE CONSTITUIÇÃO E JUSTIÇA, DE EDUCAÇÃO,\nCULTURA, DESPORTO E TURISMO E LAZER E DE FISCALIZAÇÃO\nFINANCEIRA E ORÇAMENTÁRIA, PARA PARECER.\nRECEBIDO NA CCJ EM 14 12 1990.""
))",list(),list(),"list(descricao = ""MSG 1833 1990"")",N,NA,NA,NA,NA,NULL,LEI 4320 1964 - LEI ORDINÁRIA,NA,NA,NA,NA,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,2636,1990,GOVERNADOR NEWTON CARDOSO,"AUTORIZA O PODER EXECUTIVO A REVERTER IMÓVEL AO PATRIMÔNIO DO
MUNICÍPIO DE ALMENARA.","AUTORIZAÇÃO, EXECUTIVO, REVERSÃO, IMÓVEL, MUNICÍPIO, ALMENARA.",RETIRADO DE TRAMITAÇÃO,RETRA,OUTRAS SITUAÇÕES,MOUTR,1990-12-14,000137745,PL. 2636 1990 - PROJETO DE LEI,20120523,rosanacf,1991-04-08,"list(passo = 7:1, data = c(""1991-04-08"", ""1991-04-04"", ""1991-04-02"", ""1991-03-22"", ""1991-03-06"", ""1991-03-06"", ""1990-12-12""), local = c(""MESA DA ASSEMBLÉIA"", ""PLENÁRIO"", ""COMISSÃO CONSTITUIÇÃO E JUSTIÇA"", ""PLENÁRIO"", ""MESA DA ASSEMBLÉIA"", ""COMISSÃO CONSTITUIÇÃO E JUSTIÇA"", ""PLENÁRIO""), historico = c(""REMESSA DO OFÍCIO 628/1991/SGM AO GOVERNADOR DO ESTADO\nCOMUNICANDO A RETIRADA DA PROPOSIÇÃO."", ""RETIRADO DE TRAMITAÇÃO EM VIRTUDE DE REQUERIMENTO DO\nGOVERNADOR. APROVADO.\nOFICIE-SE."", ""DEVOLVIDO AO PLENÁRIO PARA INCLUSÃO EM ORDEM DO DIA."", 
""APRESENTADO PELO GOVERNADOR HÉLIO GARCIA REQUERIMENTO DE\nRETIRADA DE PROPOSIÇÃO, ATRAVÉS DO OFÍCIO 25/1991.\nINCLUA-SE NA ORDEM DO DIA PARA EFEITO DO ART. 276 DO RI.\nOFÍCIO PUBLICADO NO DL EM 28 3 1991."", ""REMESSA DO OFÍCIO 227/1991/SGM AO GOVERNADOR DO ESTADO COM\nPEDIDO DE DILIGÊNCIA."", ""PRIMEIRO TURNO.\nRELATOR: DEP. JOSÉ MARIA PINTO.\nCONVERTIDO EM DILIGÊNCIA AO GOVERNADOR DO ESTADO POR\nDETERMINAÇÃO DO PRESIDENTE DA COMISSÃO."", ""ÀS COMISSÕES DE CONSTITUIÇÃO E JUSTIÇA E DE FISCALIZAÇÃO\nFINANCEIRA E ORÇAMENTÁRIA, PARA PARECER.\nRECEBIDO NA CCJ EM 14 12 1990.""
))",list(),list(),"list(descricao = ""MSG 1832 1990"")",N,NA,,IMÓVEL,1732,NULL,NA,NA,NA,NA,NA,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,2634,1990,DEPUTADO RONALDO VASCONCELLOS              PL,"DECLARA DE UTILIDADE PÚBLICA A LOJA MAÇÔNICA ARTE REAL, COM SEDE
EM BELO HORIZONTE.","DECLARAÇÃO, UTILIDADE PÚBLICA, MAÇONARIA, MUNICÍPIO, BELO
HORIZONTE.",ARQUIVADO,ARQVD,OUTRAS SITUAÇÕES,MOUTR,1990-12-13,000137750,PL. 2634 1990 - PROJETO DE LEI,20080718,drumo,1990-12-17,"list(passo = 3:1, data = c(""1990-12-17"", ""1990-12-14"", ""1990-12-11""), local = c(""PLENÁRIO"", ""COMISSÃO CONSTITUIÇÃO E JUSTIÇA"", ""PLENÁRIO""), historico = c(""ARQUIVADO NOS TERMOS DO ART. 185 DO RI.\nREQUERIMENTO DO DEP. RONALDO VASCONCELLOS SOLICITANDO O\nDESARQUIVAMENTO, PUBLICADO NO DL EM 25 4 1991."", ""PRIMEIRO TURNO.\nRELATOR: DEP. ADELINO DIAS.\nPARECER PELA APROVAÇÃO. APROVADO.\nA APRECIAÇÃO EM SEGUNDO TURNO.\nRECEBIDO NA CECTU EM 14 12 1990."", ""ÀS COMISSÕES DE CONSTITUIÇÃO E JUSTIÇA E DE EDUCAÇÃO,\nCULTURA, DESPORTO E TURISMO E LAZER, PARA DELIBERAÇÃO.\nRECEBIDO NA CCJ EM 13 12 1990.""
))","list(expressao = ""(PL adj '233' adj 1991[PROP])[dbmt]"", banco = ""mate"", descricao = ""PL. 233 1991"", url = ""/proposicoes/pesquisa/avancada?expr=%28PL+adj+%27233%27+adj+1991%5BPROP%5D%29%5Bdbmt%5D"", tipo = ""PL"", numero = 233, ano = 1991)",list(),NULL,N,"DELIBERAÇÃO CONCLUSIVA DAS COMISSÕES, ART. 104, INCISO I, RI.",3686,UTILIDADE PÚBLICA,1057,"list(id = 3686, nome = ""DEPUTADO RONALDO VASCONCELLOS"", partido = ""PL"")",NA,NA,NA,NA,NA,NA,NA,NA
