dominio,tipoProjeto,siglaTipoProjeto,numero,ano,autor,ementa,indexacao,situacao,siglaSituacao,situacaoGeral,siglaSituacaoGeral,dataPublicacao,numeroDoc,proposicao,matricula,regime,assuntoGeral,legislacaoCitada,local,arquivamento,atualizacao,usuario,dataUltimaAcao,listaHistoricoTramitacoes,links,linksTextos,linksProposicoesAnexadas,acompanhamento,autoresEstruturados,tema,linksOrigem,observacao,atualizacaoTexto,horarioTexto,usuarioTexto,urgencia,norma,linkLegislacao.url,linkLegislacao.rotulo,proposicaoLei.descricao
Remissivo,PROJETO DE LEI,PL,2513,2002,DEPUTADO AMILCAR MARTINS                   PSDB,"ALTERA A LEI 12733, DE 1997, QUE DISPÕE SOBRE A CONCESSÃO DE
INCENTIVOS FISCAIS AOS PROJETOS CULTURAIS DO ESTADO.
(AUTORIZA O PARCELAMENTO PARA QUITAÇÃO DE CRÉDITO TRIBUTÁRIO
INSCRITO NA DÍVIDA ATIVA NA HIPÓTESE DE PESSOAS JURÍDICAS QUE
APOIEM FINANCEIRAMENTE A REALIZAÇÃO DE PROJETO CULTURAL NO ESTADO).","ALTERAÇÃO, LEI ESTADUAL, REFERÊNCIA, CONCESSÃO, PESSOA JURÍDICA,
INCENTIVO FISCAL, QUITAÇÃO, CRÉDITO TRIBUTÁRIO, DEDUÇÃO, (ICMS),
HIPÓTESE, DESTINAÇÃO, AUXÍLIO FINANCEIRO, PROJETO, ATIVIDADE CULTURAL.
AUTORIZAÇÃO, PARCELAMENTO, QUITAÇÃO, CRÉDITO TRIBUTÁRIO, INSCRIÇÃO,
DÍVIDA ATIVA, HIPÓTESE, CONTRIBUINTE, DESTINAÇÃO, AUXÍLIO FINANCEIRO,
PROJETO, ATIVIDADE CULTURAL.",Arquivado,ARQVD,OUTRAS SITUAÇÕES,MOUTR,2002-12-21,000116858,PL. 2513 2002 - PROJETO DE LEI,9651,DELIBERAÇÃO EM DOIS TURNOS NO PLENÁRIO,"CULTURA
TRIBUTOS
IMPOSTO SOBRE CIRCULAÇÃO DE MERCADORIAS E SERVIÇOS (ICMS)",LEI 12733 1997 - LEI ORDINÁRIA,ARQUIVO,20030203,20070215,enilda,2003-02-26,"list(passo = 4:1, data = c(""2003-02-26"", ""2003-02-18"", ""2003-01-31"", ""2002-12-19""), local = c(""PLENÁRIO"", ""PLENÁRIO"", ""PLENÁRIO"", ""PLENÁRIO""), historico = c(""DESARQUIVADO.\nRECEBEU O NÚMERO PL 182 2003."", ""REQUERIMENTO DO DEP. WELITON PRADO\nSOLICITANDO O DESARQUIVAMENTO DO PROJETO. DEFERIDO.\nREQUERIMENTO PUBLICADO NO DL EM 20 2 2003, PÁG 31 COL 1."", ""ARQUIVADO, FINAL DE LEGISLATURA."", ""PUBLICADO NO DL EM 21 12 2002, PÁG 63 COL 3.\nÀS COMISSÕES DE CONSTITUIÇÃO E JUSTIÇA, DE EDUCAÇÃO, CULTURA,\nCIÊNCIA E TECNOLOGIA E DE FISCALIZAÇÃO FINANCEIRA E\nORÇAMENTÁRIA, PARA PARECER.\nRECEBIDO NA CJU.""
))","list(expressao = c(""(PL adj '182' adj 2003[PROP])[dbmt]"", ""(PL adj '57' adj 2007[PROP])[dbmt]""), banco = c(""mate"", ""mate""), descricao = c(""PL. 182 2003"", ""PL. 57 2007""), url = c(""/proposicoes/pesquisa/avancada?expr=%28PL+adj+%27182%27+adj+2003%5BPROP%5D%29%5Bdbmt%5D"", ""/proposicoes/pesquisa/avancada?expr=%28PL+adj+%2757%27+adj+2007%5BPROP%5D%29%5Bdbmt%5D""), tipo = c(""PL"", ""PL""), numero = c(182, 57), ano = c(2003, 2007))","list(expressao = ""(PL.20020251301[codi])[txmt]"", banco = ""mate"", descricao = ""PROPOSIÇÃO"", url = ""/proposicoes/pesquisa/avancada?expr=%28PL.20020251301%5Bcodi%5D%29%5Btxmt%5D&pesqProp=true"")",list(),N,"list(id = 9651, nome = ""DEPUTADO AMILCAR MARTINS"", partido = ""PSDB"")",NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,2512,2002,DEPUTADO MIGUEL MARTINI                    PSB,"DECLARA DE UTILIDADE PÚBLICA A ASSOCIAÇÃO DE ASSISTÊNCIA A
TOXICÔMANOS, AIDÉTICOS E AMENTAIS - GRUPO RENASCER, COM SEDE NO
MUNICÍPIO DE MONTE CARMELO.","UTILIDADE PÚBLICA, ENTIDADE, MUNICÍPIO, MONTE CARMELO.",Arquivado,ARQVD,OUTRAS SITUAÇÕES,MOUTR,2002-12-20,000116859,PL. 2512 2002 - PROJETO DE LEI,7768,DELIBERAÇÃO EM TURNO ÚNICO NAS COMISSÕES,UTILIDADE PÚBLICA,NA,ARQUIVO,20030203,20030410,lourdesm,2003-04-01,"list(passo = 4:1, data = c(""2003-04-01"", ""2003-03-26"", ""2003-01-31"", ""2002-12-18""), local = c(""PLENÁRIO"", ""PLENÁRIO"", ""PLENÁRIO"", ""PLENÁRIO""), historico = c(""DESARQUIVADO.\nRECEBEU O NÚMERO PL 414 2003."", ""REQUERIMENTO DO DEP. MIGUEL MARTINI\nSOLICITANDO O DESARQUIVAMENTO DO PROJETO. DEFERIDO.\nREQUERIMENTO PUBLICADO NO DL EM 28 3 2003, PÁG 17 COL 2."", ""ARQUIVADO, FINAL DE LEGISLATURA."", ""PUBLICADO NO DL EM 20  12 2002, PÁG 23 COL 1.\nÀS COMISSÕES DE CONSTITUIÇÃO E JUSTIÇA E DO TRABALHO, DA\nPREVIDÊNCIA E DA AÇÃO SOCIAL, PARA DELIBERAÇÃO.\nRECEBIDO NA CJU EM 20 12 2002.""
))","list(expressao = ""(PL adj 414 adj 2003[PROP])[dbmt]"", banco = ""mate"", descricao = ""PL. 414 2003"", url = ""/proposicoes/pesquisa/avancada?expr=%28PL+adj+414+adj+2003%5BPROP%5D%29%5Bdbmt%5D"", tipo = ""PL"", numero = 414, ano = 2003)","list(expressao = ""(PL.20020251201[codi])[txmt]"", banco = ""mate"", descricao = ""PROPOSIÇÃO"", url = ""/proposicoes/pesquisa/avancada?expr=%28PL.20020251201%5Bcodi%5D%29%5Btxmt%5D&pesqProp=true"")",list(),N,"list(id = 7768, nome = ""DEPUTADO MIGUEL MARTINI"", partido = ""PSB"")",NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,2511,2002,DEPUTADO PAULO PIAU                        PFL,"DECLARA DE UTILIDADE PÚBLICA A ASSOCIAÇÃO DOS MORADORES DO BAIRRO
JARDIM UBERABA - AMBAJU -, COM SEDE NO MUNICÍPIO DE UBERABA.","UTILIDADE PÚBLICA, ENTIDADE, MUNICÍPIO, UBERABA.",Arquivado,ARQVD,OUTRAS SITUAÇÕES,MOUTR,2002-12-19,000116868,PL. 2511 2002 - PROJETO DE LEI,7775,DELIBERAÇÃO EM TURNO ÚNICO NAS COMISSÕES,UTILIDADE PÚBLICA,NA,ARQUIVO,20030203,20030331,MOREKA,2003-03-06,"list(passo = 4:1, data = c(""2003-03-06"", ""2003-02-25"", ""2003-01-31"", ""2002-12-17""), local = c(""PLENÁRIO"", ""PLENÁRIO"", ""PLENÁRIO"", ""PLENÁRIO""), historico = c(""DESARQUIVADO.\nRECEBEU O NÚMERO PL 258 2003."", ""REQUERIMENTO DO DEP. PAULO PIAU\nSOLICITANDO O DESARQUIVAMENTO DO PROJETO. DEFERIDO.\nREQUERIMENTO PUBLICADO NO DL EM 27 2 2003, PÁG 25 COL 4."", ""ARQUIVADO, FINAL DE LEGISLATURA."", ""PUBLICADO NO DL EM 19  12 2002, PÁG 23 COL 1.\nÀS COMISSÕES DE CONSTITUIÇÃO E JUSTIÇA E DO TRABALHO, DA\nPREVIDÊNCIA E DA AÇÃO SOCIAL, PARA DELIBERAÇÃO.\nRECEBIDO NA CJU EM 19 12 2002.""
))","list(expressao = ""(PL adj 258 adj 2003[PROP])[dbmt]"", banco = ""mate"", descricao = ""PL. 258 2003"", url = ""/proposicoes/pesquisa/avancada?expr=%28PL+adj+258+adj+2003%5BPROP%5D%29%5Bdbmt%5D"", tipo = ""PL"", numero = 258, ano = 2003)","list(expressao = ""(PL.20020251101[codi])[txmt]"", banco = ""mate"", descricao = ""PROPOSIÇÃO"", url = ""/proposicoes/pesquisa/avancada?expr=%28PL.20020251101%5Bcodi%5D%29%5Btxmt%5D&pesqProp=true"")",list(),N,"list(id = 7775, nome = ""DEPUTADO PAULO PIAU"", partido = ""PFL"")",NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,2510,2002,DEPUTADO PAULO PIAU                        PFL,"DECLARA DE UTILIDADE PÚBLICA A S. R. MULHER - SOCORRO E READAPTAÇÃO
DA MULHER, COM SEDE NO MUNICÍPIO DE UBERABA.","UTILIDADE PÚBLICA, ENTIDADE, MUNICÍPIO, UBERABA.",Arquivado,ARQVD,OUTRAS SITUAÇÕES,MOUTR,2002-12-19,000116869,PL. 2510 2002 - PROJETO DE LEI,7775,DELIBERAÇÃO EM TURNO ÚNICO NAS COMISSÕES,UTILIDADE PÚBLICA,NA,ARQUIVO,20030203,20030331,MOREKA,2003-03-06,"list(passo = 4:1, data = c(""2003-03-06"", ""2003-02-25"", ""2003-01-31"", ""2002-12-17""), local = c(""PLENÁRIO"", ""PLENÁRIO"", ""PLENÁRIO"", ""PLENÁRIO""), historico = c(""DESARQUIVADO.\nRECEBEU O NÚMERO PL 259 2003."", ""REQUERIMENTO DO DEP. PAULO PIAU\nSOLICITANDO O DESARQUIVAMENTO DO PROJETO. DEFERIDO.\nREQUERIMENTO PUBLICADO NO DL EM 27 2 2003, PÁG 25 COL 4."", ""ARQUIVADO, FINAL DE LEGISLATURA."", ""PUBLICADO NO DL EM 19 12 2002, PÁG 22 COL 4.\nÀS COMISSÕES DE CONSTITUIÇÃO E JUSTIÇA E DE DIREITOS HUMANOS,\nPARA DELIBERAÇÃO.\nRECEBIDO NA CJU EM 19 12 2002.""
))","list(expressao = ""(PL adj 259 adj 2003[PROP])[dbmt]"", banco = ""mate"", descricao = ""PL. 259 2003"", url = ""/proposicoes/pesquisa/avancada?expr=%28PL+adj+259+adj+2003%5BPROP%5D%29%5Bdbmt%5D"", tipo = ""PL"", numero = 259, ano = 2003)","list(expressao = ""(PL.20020251001[codi])[txmt]"", banco = ""mate"", descricao = ""PROPOSIÇÃO"", url = ""/proposicoes/pesquisa/avancada?expr=%28PL.20020251001%5Bcodi%5D%29%5Btxmt%5D&pesqProp=true"")",list(),N,"list(id = 7775, nome = ""DEPUTADO PAULO PIAU"", partido = ""PFL"")",NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,2509,2002,DEPUTADO PAULO PIAU                        PFL,"DECLARA DE UTILIDADE PÚBLICA O INSTITUTO CULTURAL LEOPOLDINA
GEOVANA DE ARAÚJO, COM SEDE NO MUNICÍPIO DE SACRAMENTO.","UTILIDADE PÚBLICA, ENTIDADE, MUNICÍPIO, SACRAMENTO.",Arquivado,ARQVD,OUTRAS SITUAÇÕES,MOUTR,2002-12-19,000116870,PL. 2509 2002 - PROJETO DE LEI,7775,DELIBERAÇÃO EM TURNO ÚNICO NAS COMISSÕES,UTILIDADE PÚBLICA,NA,ARQUIVO,20030203,20030331,MOREKA,2003-03-06,"list(passo = 4:1, data = c(""2003-03-06"", ""2003-02-25"", ""2003-01-31"", ""2002-12-17""), local = c(""PLENÁRIO"", ""PLENÁRIO"", ""PLENÁRIO"", ""PLENÁRIO""), historico = c(""DESARQUIVADO.\nRECEBEU O NÚMERO PL 260 2003."", ""REQUERIMENTO DO DEP. PAULO PIAU\nSOLICITANDO O DESARQUIVAMENTO DO PROJETO. DEFERIDO.\nREQUERIMENTO PUBLICADO NO DL EM 27 2 2003, PÁG 25 COL 4."", ""ARQUIVADO, FINAL DE LEGISLATURA."", ""PUBLICADO NO DL EM 19 12 2002, PÁG 22 COL 4.\nÀS COMISSÕES DE CONSTITUIÇÃO E JUSTIÇA E DE EDUCAÇÃO, CULTURA,\nCIÊNCIA E TECNOLOGIA, PARA DELIBERAÇÃO.\nRECEBIDO NA CJU EM 19 12 2002.""
))","list(expressao = ""(PL adj 260 adj 2003[PROP])[dbmt]"", banco = ""mate"", descricao = ""PL. 260 2003"", url = ""/proposicoes/pesquisa/avancada?expr=%28PL+adj+260+adj+2003%5BPROP%5D%29%5Bdbmt%5D"", tipo = ""PL"", numero = 260, ano = 2003)","list(expressao = ""(PL.20020250901[codi])[txmt]"", banco = ""mate"", descricao = ""PROPOSIÇÃO"", url = ""/proposicoes/pesquisa/avancada?expr=%28PL.20020250901%5Bcodi%5D%29%5Btxmt%5D&pesqProp=true"")",list(),N,"list(id = 7775, nome = ""DEPUTADO PAULO PIAU"", partido = ""PFL"")",NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,2508,2002,DEPUTADO PAULO PIAU                        PFL,"DECLARA DE UTILIDADE PÚBLICA A LOJA MAÇÔNICA URCIANO JOSÉ RIBEIRO,
COM SEDE NO MUNICÍPIO DE ARAXÁ.","UTILIDADE PÚBLICA, ENTIDADE, MUNICÍPIO, ARAXÁ.",Arquivado,ARQVD,OUTRAS SITUAÇÕES,MOUTR,2002-12-19,000116871,PL. 2508 2002 - PROJETO DE LEI,7775,DELIBERAÇÃO EM TURNO ÚNICO NAS COMISSÕES,UTILIDADE PÚBLICA,NA,ARQUIVO,20030203,20030331,lourdesm,2003-03-06,"list(passo = 4:1, data = c(""2003-03-06"", ""2003-02-25"", ""2003-01-31"", ""2002-12-17""), local = c(""PLENÁRIO"", ""PLENÁRIO"", ""PLENÁRIO"", ""PLENÁRIO""), historico = c(""DESARQUIVADO.\nRECEBEU O NÚMERO PL 252 2003."", ""REQUERIMENTO DO DEP. PAULO PIAU\nSOLICITANDO O DESARQUIVAMENTO DO PROJETO. DEFERIDO.\nREQUERIMENTO PUBLICADO NO DL EM 27 2 2003, PÁG 25 COL 4."", ""ARQUIVADO, FINAL DE LEGISLATURA."", ""PUBLICADO NO DL EM 19  12 2002, PÁG 22 COL 4.\nÀS COMISSÕES DE CONSTITUIÇÃO E JUSTIÇA E DO TRABALHO, DA\nPREVIDÊNCIA E DA AÇÃO SOCIAL, PARA DELIBERAÇÃO.\nRECEBIDO NA CJU EM 19 12 2002.""
))","list(expressao = ""(PL adj 252 adj 2003[PROP])[dbmt]"", banco = ""mate"", descricao = ""PL. 252 2003"", url = ""/proposicoes/pesquisa/avancada?expr=%28PL+adj+252+adj+2003%5BPROP%5D%29%5Bdbmt%5D"", tipo = ""PL"", numero = 252, ano = 2003)","list(expressao = ""(PL.20020250801[codi])[txmt]"", banco = ""mate"", descricao = ""PROPOSIÇÃO"", url = ""/proposicoes/pesquisa/avancada?expr=%28PL.20020250801%5Bcodi%5D%29%5Btxmt%5D&pesqProp=true"")",list(),N,"list(id = 7775, nome = ""DEPUTADO PAULO PIAU"", partido = ""PFL"")",NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,2507,2002,DEPUTADO PAULO PIAU                        PFL,"DECLARA DE UTILIDADE PÚBLICA A ASSOCIAÇÃO DO BAIRRO FLORESTA, COM
SEDE NO MUNICÍPIO DE ARCOS.","UTILIDADE PÚBLICA, ENTIDADE, MUNICÍPIO, ARCOS.",Arquivado,ARQVD,OUTRAS SITUAÇÕES,MOUTR,2002-12-19,000116872,PL. 2507 2002 - PROJETO DE LEI,7775,DELIBERAÇÃO EM TURNO ÚNICO NAS COMISSÕES,UTILIDADE PÚBLICA,NA,ARQUIVO,20030203,20030331,lourdesm,2003-03-06,"list(passo = 4:1, data = c(""2003-03-06"", ""2003-02-25"", ""2003-01-31"", ""2002-12-17""), local = c(""PLENÁRIO"", ""PLENÁRIO"", ""PLENÁRIO"", ""PLENÁRIO""), historico = c(""DESARQUIVADO.\nRECEBEU O NÚMERO PL 253 2003."", ""REQUERIMENTO DO DEP. PAULO PIAU\nSOLICITANDO O DESARQUIVAMENTO DO PROJETO. DEFERIDO.\nREQUERIMENTO PUBLICADO NO DL EM 27 2 2003, PÁG 25 COL 4."", ""ARQUIVADO, FINAL DE LEGISLATURA."", ""PUBLICADO NO DL EM 19  12 2002, PÁG 22 COL 4.\nÀS COMISSÕES DE CONSTITUIÇÃO E JUSTIÇA E DO TRABALHO, DA\nPREVIDÊNCIA E DA AÇÃO SOCIAL, PARA DELIBERAÇÃO.\nRECEBIDO NA CJU EM 19 12 2002.""
))","list(expressao = ""(PL adj 253 adj 2003[PROP])[dbmt]"", banco = ""mate"", descricao = ""PL. 253 2003"", url = ""/proposicoes/pesquisa/avancada?expr=%28PL+adj+253+adj+2003%5BPROP%5D%29%5Bdbmt%5D"", tipo = ""PL"", numero = 253, ano = 2003)","list(expressao = ""(PL.20020250701[codi])[txmt]"", banco = ""mate"", descricao = ""PROPOSIÇÃO"", url = ""/proposicoes/pesquisa/avancada?expr=%28PL.20020250701%5Bcodi%5D%29%5Btxmt%5D&pesqProp=true"")",list(),N,"list(id = 7775, nome = ""DEPUTADO PAULO PIAU"", partido = ""PFL"")",NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,2506,2002,DEPUTADO PAULO PIAU                        PFL,"DECLARA DE UTILIDADE PÚBLICA A ASSOCIAÇÃO DOS PRODUTORES DE
VENDINHA - A.P.V., COM SEDE NO MUNICÍPIO DE IRAÍ DE MINAS.","UTILIDADE PÚBLICA, ENTIDADE, MUNICÍPIO, IRAÍ DE MINAS.",Arquivado,ARQVD,OUTRAS SITUAÇÕES,MOUTR,2002-12-19,000116873,PL. 2506 2002 - PROJETO DE LEI,7775,DELIBERAÇÃO EM TURNO ÚNICO NAS COMISSÕES,UTILIDADE PÚBLICA,NA,ARQUIVO,20030203,20030331,lourdesm,2003-03-06,"list(passo = 4:1, data = c(""2003-03-06"", ""2003-02-25"", ""2003-01-31"", ""2002-12-17""), local = c(""PLENÁRIO"", ""PLENÁRIO"", ""PLENÁRIO"", ""PLENÁRIO""), historico = c(""DESARQUIVADO.\nRECEBEU O NÚMERO PL 251 2003."", ""REQUERIMENTO DO DEP. PAULO PIAU\nSOLICITANDO O DESARQUIVAMENTO DO PROJETO. DEFERIDO.\nREQUERIMENTO PUBLICADO NO DL EM 27 2 2003, PÁG 25 COL 4."", ""ARQUIVADO, FINAL DE LEGISLATURA."", ""PUBLICADO NO DL EM 19 12 2002, PÁG 22 COL 4.\nÀS COMISSÕES DE CONSTITUIÇÃO E JUSTIÇA E DE POLÍTICA\nAGROPECUÁRIA E AGROINDUSTRIAL, PARA DELIBERAÇÃO.\nRECEBIDO NA CJU EM 19 12 2002""
))","list(expressao = ""(PL adj 251 adj 2003[PROP])[dbmt]"", banco = ""mate"", descricao = ""PL. 251 2003"", url = ""/proposicoes/pesquisa/avancada?expr=%28PL+adj+251+adj+2003%5BPROP%5D%29%5Bdbmt%5D"", tipo = ""PL"", numero = 251, ano = 2003)","list(expressao = ""(PL.20020250601[codi])[txmt]"", banco = ""mate"", descricao = ""PROPOSIÇÃO"", url = ""/proposicoes/pesquisa/avancada?expr=%28PL.20020250601%5Bcodi%5D%29%5Btxmt%5D&pesqProp=true"")",list(),N,"list(id = 7775, nome = ""DEPUTADO PAULO PIAU"", partido = ""PFL"")",NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,2505,2002,DEPUTADO PAULO PIAU                        PFL,"DECLARA DE UTILIDADE PÚBLICA A FUNDAÇÃO MAÇÔNICA 20 DE AGOSTO, COM
SEDE NO MUNICÍPIO DE ITUIUTABA.","UTILIDADE PÚBLICA, ENTIDADE, MUNICÍPIO, ITUIUTABA.",Arquivado,ARQVD,OUTRAS SITUAÇÕES,MOUTR,2002-12-19,000116874,PL. 2505 2002 - PROJETO DE LEI,7775,DELIBERAÇÃO EM TURNO ÚNICO NAS COMISSÕES,UTILIDADE PÚBLICA,NA,ARQUIVO,20030203,20030331,lourdesm,2003-03-06,"list(passo = 4:1, data = c(""2003-03-06"", ""2003-02-25"", ""2003-01-31"", ""2002-12-17""), local = c(""PLENÁRIO"", ""PLENÁRIO"", ""PLENÁRIO"", ""PLENÁRIO""), historico = c(""DESARQUIVADO.\nRECEBEU O NÚMERO PL 250 2003."", ""REQUERIMENTO DO DEP. PAULO PIAU SOLICITANDO O DESARQUIVAMENTO\nDO PROJETO. DEFERIDO.\nREQUERIMENTO PUBLICADO NO DL EM 27 2 2003, PÁG 25 COL 4."", ""ARQUIVADO, FINAL DE LEGISLATURA."", ""PUBLICADO NO DL EM 19 12 2002, PÁG 22 COL 3.\nÀS COMISSÕES DE CONSTITUIÇÃO E JUSTIÇA E DO TRABALHO, DA\nPREVIDÊNCIA E DA AÇÃO SOCIAL, PARA DELIBERAÇÃO.\nRECEBIDO NA CJU EM 19 12 2002.""
))","list(expressao = ""(PL adj 250 adj 2003[PROP])[dbmt]"", banco = ""mate"", descricao = ""PL. 250 2003"", url = ""/proposicoes/pesquisa/avancada?expr=%28PL+adj+250+adj+2003%5BPROP%5D%29%5Bdbmt%5D"", tipo = ""PL"", numero = 250, ano = 2003)","list(expressao = ""(PL.20020250501[codi])[txmt]"", banco = ""mate"", descricao = ""PROPOSIÇÃO"", url = ""/proposicoes/pesquisa/avancada?expr=%28PL.20020250501%5Bcodi%5D%29%5Btxmt%5D&pesqProp=true"")",list(),N,"list(id = 7775, nome = ""DEPUTADO PAULO PIAU"", partido = ""PFL"")",NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,2504,2002,DEPUTADO PAULO PIAU                        PFL,"DECLARA DE UTILIDADE PÚBLICA A ASSOCIAÇÃO COMUNITÁRIA DOS MORADORES
DOS BAIRROS CALCITA, SANTA EFIGÊNIA E NOSSA SENHORA APARECIDA, COM
SEDE NO MUNICÍPIO DE ARCOS.","UTILIDADE PÚBLICA, ENTIDADE, MUNICÍPIO, ARCOS.",Arquivado,ARQVD,OUTRAS SITUAÇÕES,MOUTR,2002-12-19,000116875,PL. 2504 2002 - PROJETO DE LEI,7775,DELIBERAÇÃO EM TURNO ÚNICO NAS COMISSÕES,UTILIDADE PÚBLICA,NA,ARQUIVO,20030203,20030331,lourdesm,2003-03-06,"list(passo = 4:1, data = c(""2003-03-06"", ""2003-02-25"", ""2003-01-31"", ""2002-12-17""), local = c(""PLENÁRIO"", ""PLENÁRIO"", ""PLENÁRIO"", ""PLENÁRIO""), historico = c(""DESARQUIVADO.\nRECEBEU O NÚMERO PL 249 2003."", ""REQUERIMENTO DO DEP. PAULO PIAU SOLICITANDO O DESARQUIVAMENTO\nDO PROJETO. DEFERIDO.\nREQUERIMENTO PUBLICADO NO DL EM 27 2 2003, PÁG 25 COL 4."", ""ARQUIVADO, FINAL DE LEGISLATURA."", ""PUBLICADO NO DL EM 19 12 2002, PÁG 22 COL 3.\nÀS COMISSÕES DE CONSTITUIÇÃO E JUSTIÇA E DO TRABALHO, DA\nPREVIDÊNCIA E DA AÇÃO SOCIAL, PARA DELIBERAÇÃO.\nRECEBIDO NA CJU EM 19 12 2002.""
))","list(expressao = ""(PL adj 249 adj 2003[PROP])[dbmt]"", banco = ""mate"", descricao = ""PL. 249 2003"", url = ""/proposicoes/pesquisa/avancada?expr=%28PL+adj+249+adj+2003%5BPROP%5D%29%5Bdbmt%5D"", tipo = ""PL"", numero = 249, ano = 2003)","list(expressao = ""(PL.20020250401[codi])[txmt]"", banco = ""mate"", descricao = ""PROPOSIÇÃO"", url = ""/proposicoes/pesquisa/avancada?expr=%28PL.20020250401%5Bcodi%5D%29%5Btxmt%5D&pesqProp=true"")",list(),N,"list(id = 7775, nome = ""DEPUTADO PAULO PIAU"", partido = ""PFL"")",NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA
